name,area_km2,tmean_annual_c,tmax_mean_annual_c,summer_tmax_mean_c,tmax_p95_c,tmax_abs_c,apparent_tmax_mean_c,hot_days_30c,hot_days_35c,apparent_hot_days_35c,tropical_nights_20c,precip_annual_mm,heat_exposure_index,urban_heat_anomaly_c,n_area_grid_points,nearest_climate_m,used_nearest_fallback,n_days
Alhué,843.72,15.25,21.7,29.39,32.04,36.98,21.08,44.25,5.75,4.5,0.75,599.92,-0.14,-0.63,9,0.0,False,366.0
Buin,217.49,14.73,22.21,30.24,32.71,37.6,21.49,62.0,5.5,6.0,0.5,638.55,0.3,0.21,2,0.0,False,366.0
Calera de Tango,73.05,14.61,22.0,29.44,32.0,36.3,21.07,50.0,3.0,3.0,0.0,649.4,-0.24,-0.59,1,0.0,False,366.0
Cerrillos,16.92,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,1.04,1.07,1,0.0,False,366.0
Cerro Navia,11.14,15.92,23.38,31.1,33.4,37.5,22.44,90.0,9.0,7.0,0.0,672.6,0.79,1.08,0,0.0,True,366.0
Colina,971.57,16.68,23.68,31.74,34.21,37.38,22.19,103.75,12.5,6.0,1.75,498.52,1.16,1.72,11,0.0,False,366.0
Conchalí,10.98,16.06,22.69,30.43,32.68,36.2,21.48,71.0,4.0,1.0,0.0,434.7,0.03,0.4,0,0.0,True,366.0
Curacaví,693.8,15.71,22.48,29.65,31.88,37.17,22.1,55.33,5.33,5.33,1.33,484.63,0.06,-0.37,8,0.0,False,366.0
El Bosque,14.26,15.14,22.38,30.29,32.78,36.8,21.46,71.0,5.0,5.0,0.0,708.2,0.29,0.26,0,0.0,True,366.0
El Monte,115.33,14.96,22.25,28.96,31.6,38.1,21.49,44.0,6.0,4.0,0.0,551.9,-0.35,-1.06,1,0.0,False,366.0
Estación Central,14.29,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,1.04,1.07,0,0.0,True,366.0
Huechuraba,44.96,15.35,21.97,29.7,31.98,35.5,20.6,49.0,2.0,0.0,0.0,434.7,-0.42,-0.32,0,0.0,True,366.0
Independencia,7.28,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.2,0.37,0,0.0,True,366.0
Isla de Maipo,187.55,14.71,22.59,30.11,32.5,38.1,21.66,63.5,6.5,5.5,0.0,651.8,0.2,0.09,2,0.0,False,366.0
La Cisterna,10.01,14.98,22.21,30.11,32.58,36.7,21.27,62.0,3.0,3.0,0.0,708.2,0.03,0.09,0,0.0,True,366.0
La Florida,71.12,13.4,19.18,26.16,28.6,32.0,18.29,9.0,0.0,0.0,0.0,546.3,-1.73,-3.86,1,0.0,False,366.0
La Granja,10.06,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.11,-0.3,0,0.0,True,366.0
La Pintana,30.53,14.06,21.34,29.24,31.8,35.8,20.38,40.0,2.0,0.0,0.0,695.3,-0.58,-0.79,0,0.0,True,366.0
La Reina,23.64,15.4,21.97,29.5,31.78,35.8,20.96,47.0,2.0,1.0,3.0,513.7,-0.22,-0.53,0,0.0,True,366.0
Lampa,450.07,16.73,23.9,31.62,34.09,37.4,22.93,100.5,15.5,13.75,2.25,624.42,1.64,1.59,4,0.0,False,366.0
Las Condes,98.9,14.44,19.77,26.79,29.08,32.8,18.71,13.0,0.0,0.0,3.0,544.1,-1.34,-3.24,1,0.0,False,366.0
