name,deis_n_total,deis_is_hospital,deis_is_clinic,deis_is_primary_care,deis_is_laboratory,deis_is_dental,deis_is_mental_health,deis_is_all_health,osm_n_total,osm_is_hospital,osm_is_clinic,osm_is_primary_care,osm_is_pharmacy,osm_is_laboratory,osm_is_dental,osm_is_mental_health,osm_is_all_health,diff_n_total
Alhué,6,0,0,5,0,0,0,6,6,0,1,4,2,0,0,0,6,0
Buin,23,1,0,12,0,1,0,23,24,3,7,9,8,0,0,0,24,-1
Calera de Tango,4,0,0,4,0,0,0,4,9,1,4,1,4,0,0,0,9,-5
Cerrillos,10,0,0,5,0,1,1,10,20,1,4,5,11,0,1,0,20,-10
Cerro Navia,10,1,0,8,0,0,1,10,38,2,9,7,18,0,6,0,38,-28
Colina,18,0,0,11,0,0,1,18,51,2,8,11,26,0,5,0,51,-33
Conchalí,13,0,0,10,0,0,1,13,32,3,7,5,14,0,6,0,32,-19
Curacaví,3,1,0,2,0,0,0,3,8,1,1,3,3,0,0,0,8,-5
El Bosque,15,0,0,12,0,0,1,15,51,1,10,12,28,0,6,0,51,-36
El Monte,3,0,0,3,0,0,0,3,5,0,2,3,1,0,0,0,5,-2
Estación Central,18,1,3,6,0,1,1,18,46,5,10,3,25,0,4,0,46,-28
Huechuraba,14,0,1,7,0,2,1,14,35,0,6,5,21,0,4,0,35,-21
Independencia,22,4,1,5,0,2,1,22,42,5,10,7,14,0,6,0,42,-20
Isla de Maipo,9,0,0,9,0,0,0,9,12,1,2,8,2,0,0,0,12,-3
La Cisterna,10,0,0,5,0,2,0,10,50,1,11,4,28,1,7,0,50,-40
La Florida,42,1,4,20,1,4,1,42,124,5,24,16,64,1,19,0,124,-82
La Granja,10,0,0,9,0,0,1,10,24,0,5,7,8,0,6,0,24,-14
La Pintana,15,0,0,12,1,0,1,15,15,2,7,6,4,0,0,0,15,0
La Reina,18,1,2,4,0,3,1,18,55,3,13,9,27,0,7,0,55,-37
Lampa,9,0,0,7,1,0,1,9,19,1,6,3,6,0,3,0,19,-10
Las Condes,59,3,6,3,5,4,1,59,185,5,26,12,118,3,21,0,185,-126
Lo Barnechea,16,0,3,5,1,1,1,16,36,0,10,6,19,0,4,0,36,-20
Lo Espejo,9,0,0,8,0,0,1,9,9,0,6,3,2,0,0,0,9,0
Lo Prado,10,0,0,8,0,0,1,10,25,1,8,5,11,0,2,0,25,-15
Macul,14,0,1,4,0,2,1,14,28,1,11,5,10,0,4,0,28,-14
Maipú,45,1,4,20,3,3,2,45,111,6,29,18,51,0,14,0,111,-66
María Pinto,5,0,0,5,0,0,0,5,6,1,1,5,1,0,0,0,6,-1
Melipilla,24,1,1,14,0,1,1,24,38,2,8,13,13,1,2,0,38,-14
Padre Hurtado,3,0,0,2,0,0,0,3,7,0,3,3,2,0,0,0,7,-4
Paine,12,0,0,9,0,0,0,12,18,4,6,9,3,0,0,0,18,-6
Pedro Aguirre Cerda,13,0,1,9,1,0,1,13,21,2,10,3,9,0,0,0,21,-8
Peñaflor,13,1,1,4,1,0,1,13,15,1,4,6,3,0,1,0,15,-2
Peñalolén,28,2,1,12,1,3,1,28,55,3,16,10,26,0,8,0,55,-27
Pirque,7,0,0,6,0,0,1,7,15,0,3,7,5,0,0,0,15,-8
Providencia,110,7,16,6,14,7,1,110,201,15,45,20,100,5,19,0,201,-91
Pudahuel,27,0,1,18,0,1,2,27,64,2,13,18,26,0,7,0,64,-37
Puente Alto,49,3,3,16,1,5,3,49,124,9,28,18,56,0,19,0,124,-75
Quilicura,19,0,0,10,0,1,1,19,101,0,21,12,50,1,21,0,101,-82
Quinta Normal,9,0,0,8,0,0,1,9,27,2,4,9,12,0,3,0,27,-18
Recoleta,18,1,2,8,3,1,1,18,51,2,9,5,26,0,11,0,51,-33
Renca,13,0,0,9,2,0,1,13,24,0,4,7,12,0,2,0,24,-11
San Bernardo,41,2,2,17,3,2,1,41,78,4,19,11,35,2,11,0,78,-37
San Joaquín,13,0,0,11,0,0,1,13,19,2,7,10,7,0,0,0,19,-6
San José de Maipo,5,1,0,3,0,0,1,5,8,1,0,6,1,0,0,0,8,-3
San Miguel,31,3,4,4,2,2,1,31,50,5,9,4,24,1,9,0,50,-19
San Pedro,6,0,0,6,0,0,0,6,7,0,2,6,1,0,0,0,7,-1
San Ramón,10,1,0,7,0,0,2,10,22,1,6,5,10,1,2,0,22,-12
Santiago,100,6,7,9,14,7,1,100,265,7,36,16,188,1,23,0,265,-165
Talagante,13,1,0,6,0,0,1,13,40,2,8,8,14,0,10,0,40,-27
Tiltil,9,1,0,6,0,0,1,9,8,2,2,4,1,0,0,0,8,1
Vitacura,26,0,10,2,1,2,1,26,60,3,11,2,37,1,6,0,60,-34
Ñuñoa,35,1,5,6,3,5,1,35,120,2,16,10,82,3,11,0,120,-85
