source,matched_in,name,official_type,commune,lon,lat
deis,osm,Servicio Médico Legal Melipilla,Otro,Melipilla,-71.22452128,-33.69658223
deis,osm,CEINSA,Clínica Dental,Puente Alto,-70.570507,-33.605288
deis,osm,Centro Dental RedSalud Apoquindo,Clínica Dental,Las Condes,-70.540345,-33.41253
deis,osm,Centro Odontológico Uno Salud Dental Estación Central,Clínica Dental,Estación Central,-70.680021,-33.453415
deis,osm,Sala de procedimientos Embalse,Vacunatorio,Alhué,-71.187524,-34.089481
deis,osm,Posta de Salud Rural Aliro Cárcarmo (Lonquén),Posta de Salud Rural (PSR),Talagante,-70.853969,-33.709767
deis,osm,Centro Comunitario de Salud Familiar Hacienda Alhué,Centro Comunitario de Salud Familiar (CECOSF),Alhué,-71.21683,-34.03091
deis,osm,Posta de Salud Rural El Prado,Posta de Salud Rural (PSR),San Pedro,-71.51013,-33.91865
deis,osm,Centro Asistencial AChS Paine,Centro de Salud Privado,Paine,-70.741044,-33.813946
deis,osm,Posta de Salud Rural San Gabriel,Posta de Salud Rural (PSR),San José de Maipo,-70.23606,-33.78344
deis,osm,Centro Médico KINEROD,Centro de Salud Privado,Buin,-70.744272,-33.73418
deis,osm,Centro Asistencial AChS Buin,Centro de Salud Privado,Buin,-70.745993,-33.730686
deis,osm,Centro de Salud Mutual CChC Melipilla,Centro de Salud Privado,Melipilla,-71.210766,-33.686119
deis,osm,Clínica del Trabajador AChS,Clínica,Melipilla,-71.23301,-33.6801
deis,osm,Centro Comunitario de Salud Familiar Lo Herrera,Centro Comunitario de Salud Familiar (CECOSF),San Bernardo,-70.744021,-33.669569
deis,osm,Centro Comunitario de Salud Familiar Ribera del Maipo,Centro Comunitario de Salud Familiar (CECOSF),San Bernardo,-70.66279,-33.64893
deis,osm,Hospital San José de Maipo,Hospital,San José de Maipo,-70.351496,-33.639361
deis,osm,Fundación Vida Nueva (Clínica Psiquiátrica),Clínica,Peñaflor,-70.896286,-33.629126
deis,osm,Clínica de Cirugía Plástica,Clínica,San Bernardo,-70.69878,-33.62467
deis,osm,COSAM CEIF Centro,Centro Comunitario de Salud Mental (COSAM),Puente Alto,-70.575382,-33.616061
deis,osm,Servicios Médicos PEÑASalud,Vacunatorio,Peñaflor,-70.89268,-33.611333
deis,osm,Centro de Salud Familiar Vista Hermosa,Centro de Salud Familiar (CESFAM),Puente Alto,-70.52104,-33.61107
deis,osm,Centro Medico de Clínica Maitenes Peñaflor,Centro de Salud Privado,Peñaflor,-70.856194,-33.608844
deis,osm,Centro Comunitario de Salud Familiar Las Hortensias,Centro Comunitario de Salud Familiar (CECOSF),San Bernardo,-70.67051,-33.60213
deis,osm,Clínica Santa Elena,Clínica,Puente Alto,-70.5560789,-33.5740142
deis,osm,"Hospital Psiquiátrico El Peral (Santiago, Puente Alto)",Hospital,Puente Alto,-70.551417,-33.579233
deis,osm,Centro Médico y Dental MegaSalud San Bernardo,Centro de Salud Privado,San Bernardo,-70.703022,-33.578297
deis,osm,Clínica Psiquiatrica Raquel Gaete,Clínica,Puente Alto,-70.555338,-33.574316
deis,osm,Posta de Salud Rural Pahuilmo,Posta de Salud Rural (PSR),Melipilla,-71.11575,-33.56916
deis,osm,Centro Médico MAGNAVIDA,Centro de Salud Privado,Padre Hurtado,-70.798519,-33.56355
deis,osm,Centro Comunitario de Salud Familiar Los Sauces,Centro Comunitario de Salud Familiar (CECOSF),El Bosque,-70.663764,-33.562694
deis,osm,COSAM La Florida,Centro Comunitario de Salud Mental (COSAM),La Florida,-70.575392,-33.553972
deis,osm,Centro Comunitario de Salud Familiar Los Bosquinos,Centro Comunitario de Salud Familiar (CECOSF),Maipú,-70.79348,-33.5498
deis,osm,Consultorio Prefectura Sur,Centro de Salud Privado,La Cisterna,-70.67246,-33.53549
deis,osm,Centro Vida Integra de La Florida,Centro de Salud Privado,La Florida,-70.582734,-33.522276
deis,osm,Clínica Astra La Florida,Clínica,La Florida,-70.57891,-33.521292
deis,osm,Centro Asistencial AChS La Florida,Centro de Salud Privado,La Florida,-70.604586,-33.518243
deis,osm,Centro Médico Vida Integra Maipú,Centro de Salud Privado,Maipú,-70.75471,-33.509209
