name,area_km2,no2_mean,blh_mean,aod_mean,no2_surface_ug_m3
Alhué,843.7231565253592,2e-05,339.5,0.0977,2.77
Buin,217.4870765166865,5.8e-05,318.5,0.1296,8.4
Calera de Tango,73.04670721750554,7.7e-05,313.0,0.1215,11.34
Cerrillos,16.91976540726597,0.000165,313.0,0.1426,24.25
Cerro Navia,11.1409923410993,0.000155,313.0,0.1446,22.82
Colina,971.572458411833,6.9e-05,388.3,0.1231,8.17
Conchalí,10.981814316952168,0.000216,358.9,0.1431,27.72
Curacaví,693.7986497365545,3.7e-05,320.7,0.1067,5.32
El Bosque,14.257401066876932,0.000152,313.0,0.1451,22.35
El Monte,115.32500548527088,5.4e-05,316.1,0.1166,7.86
Estación Central,14.286210447826248,0.000184,313.0,0.1504,26.98
Huechuraba,44.961776496679434,0.000195,357.2,0.1431,25.15
Independencia,7.283932271741198,0.000225,358.9,0.1497,28.89
Isla de Maipo,187.5459843400852,4.7e-05,321.5,0.1133,6.74
La Cisterna,10.010720078249644,0.000184,313.0,0.1358,27.06
La Florida,71.1210522666309,0.000144,307.5,0.1312,21.54
La Granja,10.05972177854653,0.000192,313.0,0.136,28.27
La Pintana,30.533393046693345,0.000139,313.0,0.162,20.41
La Reina,23.64155193370517,0.000191,307.5,0.1303,28.51
Lampa,450.07304175821884,7.5e-05,354.7,0.1199,9.67
Las Condes,98.90203406407547,0.00014,322.0,0.1199,20.06
Lo Barnechea,1022.1297930626228,5.4e-05,340.7,0.1103,7.32
Lo Espejo,8.194771356519686,0.000173,313.0,0.1371,25.49
Lo Prado,6.5696894359848965,0.000169,324.8,0.1475,23.88
Macul,12.81375558134934,0.000226,309.3,0.1382,33.69
Maipú,137.6083323875252,9.9e-05,313.2,0.1376,14.49
María Pinto,394.62227541126543,3.7e-05,283.8,0.1117,6.05
Melipilla,1343.1265099756665,3.2e-05,297.8,0.1053,4.91
Padre Hurtado,81.22443358814272,7.1e-05,313.5,0.1288,10.36
Paine,678.1358046412458,4.1e-05,324.4,0.1107,5.76
Pedro Aguirre Cerda,8.636814394202121,0.000195,313.0,0.1283,28.73
Peñaflor,69.31756826885692,6.9e-05,313.7,0.1234,10.09
Peñalolén,53.62334767694691,0.000159,307.5,0.1348,23.84
Pirque,444.69895673936196,5.1e-05,330.3,0.1077,7.13
Providencia,14.432959755289843,0.000246,310.2,0.1367,36.45
Pudahuel,197.45244233660642,8.7e-05,330.3,0.1424,12.19
Puente Alto,88.13342555691855,0.000121,308.0,0.1426,18.06
Quilicura,56.99201354866873,0.000165,358.9,0.1576,21.19
Quinta Normal,11.832492258790195,0.000193,313.0,0.1393,28.33
Recoleta,15.851037225594844,0.00024,358.9,0.1602,30.78
Renca,23.746435810535132,0.000174,358.9,0.1567,22.27
San Bernardo,153.14373172094295,9.2e-05,313.6,0.1407,13.56
San Joaquín,9.937976304933375,0.000215,313.0,0.1287,31.54
San José de Maipo,4984.910043200271,1.7e-05,380.7,0.1221,2.11
San Miguel,9.628513022449877,0.000204,313.0,0.1276,30.03
San Pedro,794.8391508021717,1.6e-05,306.8,0.1012,2.46
San Ramón,6.307777940004786,0.000184,313.0,0.1368,27.01
Santiago,23.276273577117394,0.000217,313.0,0.1494,31.85
Talagante,128.00823676158703,6.3e-05,317.0,0.1208,9.09
Tiltil,654.8702700541278,5.6e-05,377.1,0.1235,6.82
Vitacura,28.29370286224916,0.000202,334.9,0.1261,27.81
Ñuñoa,16.9120528554829,0.000239,309.3,0.1256,35.49
