name,area_km2,alan_radiance_mean,alan_radiance_median,alan_radiance_sd,alan_radiance_max,alan_radiance_pop_weighted
Alhué,843.7231565253592,0.6885,0.4246,1.4239,30.4233,4.9388
Buin,217.4870765166865,6.8428,3.1317,10.1088,57.9033,16.9317
Calera de Tango,73.04670721750554,8.5661,6.7245,7.0042,73.915,12.3057
Cerrillos,16.91976540726597,77.264,75.31,17.6946,134.4175,78.264
Cerro Navia,11.1409923410993,50.8126,48.9592,11.6242,92.4467,50.9323
Colina,971.572458411833,4.2711,0.5795,9.9877,169.805,22.9738
Conchalí,10.981814316952168,70.7113,68.7017,11.6089,114.0275,70.2582
Curacaví,693.7986497365545,1.3454,0.5809,2.5627,40.23,8.585
El Bosque,14.257401066876932,55.9067,58.6187,15.7819,85.355,58.4324
El Monte,115.32500548527088,2.8001,1.3068,4.0173,26.8925,8.0448
Estación Central,14.286210447826248,79.9973,76.6611,14.9747,114.425,78.5827
Huechuraba,44.961776496679434,30.9691,21.6489,28.3415,115.78,49.5759
Independencia,7.283932271741198,91.5033,88.0692,16.0045,121.5833,89.4169
Isla de Maipo,187.5459843400852,3.012,1.6297,4.5139,43.2158,9.6391
La Cisterna,10.010720078249644,63.6918,63.0575,10.3577,89.6133,62.6156
La Florida,71.1210522666309,47.5382,49.119,41.9621,155.2017,80.1675
La Granja,10.05972177854653,90.8642,88.9208,11.9775,117.9358,89.2206
La Pintana,30.533393046693345,44.6134,40.2182,26.2462,111.1208,55.8611
La Reina,23.64155193370517,40.6904,44.283,22.9795,94.0608,49.0933
Lampa,450.07304175821884,5.7578,1.3669,12.2549,127.2108,25.7861
Las Condes,98.90203406407547,26.022,5.6003,29.7517,130.4175,53.6879
Lo Barnechea,1022.1297930626228,2.8718,0.6769,9.2572,103.1892,31.0774
Lo Espejo,8.194771356519686,71.4066,67.6683,13.7996,117.9275,70.2801
Lo Prado,6.5696894359848965,92.2133,91.1533,13.6199,119.5742,92.0736
Macul,12.81375558134934,88.0808,86.5909,10.0907,125.9925,89.9272
Maipú,137.6083323875252,33.0366,11.2379,34.7566,120.3275,65.0569
María Pinto,394.62227541126543,0.8683,0.6577,0.7209,10.165,1.7626
Melipilla,1343.1265099756665,1.3621,0.603,3.6778,51.0992,12.4305
Padre Hurtado,81.22443358814272,12.4107,3.2461,19.0303,79.5217,36.7051
Paine,678.1358046412458,1.9619,0.8676,4.7015,59.5983,14.0964
Pedro Aguirre Cerda,8.636814394202121,80.2107,70.1608,30.1308,183.1392,80.401
Peñaflor,69.31756826885692,10.5402,5.1474,11.9599,48.9633,22.4987
Peñalolén,53.62334767694691,33.237,32.5333,27.5839,128.7558,52.3103
Pirque,444.69895673936196,1.933,0.8702,3.2415,55.6508,8.4999
Providencia,14.432959755289843,93.1708,94.894,17.5855,122.845,94.1248
Pudahuel,197.45244233660642,21.0596,5.4517,30.9435,147.4317,56.3808
Puente Alto,88.13342555691855,54.0135,60.985,33.4805,119.1517,70.67
Quilicura,56.99201354866873,54.7736,54.2413,37.8837,140.1458,67.0092
Quinta Normal,11.832492258790195,51.3355,48.8081,9.7806,90.1192,53.1913
Recoleta,15.851037225594844,61.3896,61.3813,22.8341,130.8017,61.6533
Renca,23.746435810535132,69.8201,69.4042,27.4393,132.9242,75.5691
San Bernardo,153.14373172094295,26.3997,10.2603,29.9305,128.9083,51.9985
San Joaquín,9.937976304933375,86.5445,86.0208,9.0699,104.175,87.2944
San José de Maipo,4984.910043200271,0.5122,0.419,0.5699,29.3733,3.1922
San Miguel,9.628513022449877,83.6762,83.0917,9.4152,107.0542,82.8478
San Pedro,794.8391508021717,0.8452,0.5286,0.8729,12.6942,1.9209
San Ramón,6.307777940004786,73.1708,73.5583,14.442,105.1258,74.2834
Santiago,23.276273577117394,96.7479,96.4297,17.8546,148.8767,95.0459
Talagante,128.00823676158703,9.4325,5.2302,12.2286,74.4417,21.0062
Tiltil,654.8702700541278,1.1293,0.5486,1.7019,24.5608,4.4199
Vitacura,28.29370286224916,48.9732,52.5875,28.2309,105.8375,58.3128
Ñuñoa,16.9120528554829,99.2321,97.2,13.4938,149.3542,102.3588
