name,LST_Day_1km_mean_c,LST_Day_1km_max_c,LST_Day_1km_p95_c,LST_Night_1km_mean_c,LST_Night_1km_max_c,LST_Night_1km_p95_c,year,season
Alhué,25.09183683449188,38.76956874755035,35.77725803249609,9.255662283810297,18.19814737820954,16.86521729454384,2024,annual
Alhué,32.046634705978164,39.199958231184794,37.374167857865615,14.16841595569756,18.075094219995258,17.93102525726058,2024,summer
Buin,29.25510686900561,42.0274348229519,39.0718299677589,9.652377853063484,18.043638839833605,16.936723861833663,2024,annual
Buin,35.89106175114557,42.513148253464635,40.69685792002157,14.596625492635065,18.009907360292168,17.64325952587629,2024,summer
Calera de Tango,28.876810539373675,41.68269558620075,38.658822317430584,10.198804990134686,17.56981880662296,16.745442830365533,2024,annual
Calera de Tango,35.64580971248303,42.21570848395592,40.522762975855784,14.679546347689037,17.647438746820217,17.433770473512766,2024,summer
Cerrillos,34.26574525495954,48.136021609106734,44.582529744678155,12.01208957857818,23.001518425622262,20.092361566660273,2024,annual
Cerrillos,41.26518778333558,48.990619332433,46.740955688468745,17.246280475551863,23.001518425622262,21.205755836388228,2024,summer
Cerro Navia,34.57375822974372,48.33225634967516,44.76771460917507,11.67636989212389,22.525115180153605,19.661481836975813,2024,annual
Cerro Navia,41.39379530324139,48.96492911990553,47.228439161252254,17.070913644290414,22.525115180153605,20.661106024808063,2024,summer
Colina,32.1510355554241,47.63128228981289,44.35137546399821,9.494784373341144,19.450985884161156,17.660883558573985,2024,annual
Colina,40.95223946275386,48.65144889580976,46.22993233632633,14.96804307997666,19.406770816480638,18.687533865542285,2024,summer
Conchalí,34.39306357924531,48.49148379423136,45.03892878382398,12.660083889710542,23.269681831697923,20.789394389929647,2024,annual
Conchalí,41.642204194507386,49.40415997621173,47.25033377936368,18.10095332199991,23.269681831697923,21.81516577460603,2024,summer
Curacaví,28.713544263712308,42.988449574429,39.42537938689602,10.54191909763329,18.743094021280925,17.24397323243982,2024,annual
Curacaví,36.12216746793709,44.02035091355283,41.79132341511896,14.730660931439838,18.729405613674807,18.343784276874718,2024,summer
El Bosque,34.44117669474434,47.65251717819518,44.39367098030238,11.605164998647536,22.905758131012405,19.658368834936663,2024,annual
El Bosque,41.04940962653521,48.2701374255612,46.22754351809441,16.77635719473347,22.905758131012405,20.893707627118676,2024,summer
El Monte,26.697277298174683,40.00979488628336,36.43261705043086,11.00918097211348,18.64481593445404,17.08682803597497,2024,annual
El Monte,33.514974546245284,40.55057748269528,38.63596362480578,14.735162611012676,18.640781466308816,18.181398785139166,2024,summer
Estación Central,34.042785401899586,47.84681278538817,44.336707496194855,12.01841597782915,22.94428310502287,20.19035768645361,2024,annual
