name,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,precipitation_sum
Alhué,2015-01-01,31.0,14.7,23.1,32.1,0.0
Alhué,2015-01-02,32.6,18.6,25.4,34.2,0.0
Alhué,2015-01-03,33.7,18.9,25.9,35.8,0.0
Alhué,2015-01-04,34.3,19.6,26.2,37.6,0.0
Alhué,2015-01-05,31.1,18.5,24.4,33.7,0.0
Alhué,2015-01-06,33.4,17.4,24.5,36.0,0.0
Alhué,2015-01-07,29.7,16.9,23.4,32.0,0.1
Alhué,2015-01-08,32.9,17.6,25.6,35.5,0.0
Alhué,2015-01-09,36.0,20.3,27.9,38.2,0.0
Alhué,2015-01-10,34.0,19.3,26.5,37.2,0.0
Alhué,2015-01-11,35.5,20.9,27.7,37.6,0.0
Alhué,2015-01-12,32.9,19.8,25.9,35.2,0.0
Alhué,2015-01-13,33.0,19.0,25.6,35.0,0.0
Alhué,2015-01-14,33.6,19.8,26.1,35.9,0.0
Alhué,2015-01-15,31.6,18.9,24.8,35.1,0.0
Alhué,2015-01-16,32.9,18.5,25.3,36.5,0.0
Alhué,2015-01-17,31.0,19.2,24.7,34.4,0.0
Alhué,2015-01-18,29.6,18.2,23.5,33.4,0.0
Alhué,2015-01-19,29.6,16.7,22.9,33.4,0.0
Alhué,2015-01-20,29.2,17.0,22.2,33.3,0.0
Alhué,2015-01-21,29.5,17.1,22.4,32.7,0.0
Alhué,2015-01-22,31.7,16.9,24.1,35.3,0.0
Alhué,2015-01-23,33.0,19.6,25.7,35.2,0.0
Alhué,2015-01-24,33.1,19.5,25.9,35.7,0.0
Alhué,2015-01-25,31.8,20.1,25.3,35.0,0.0
Alhué,2015-01-26,33.5,19.0,25.8,37.0,0.0
Alhué,2015-01-27,33.1,20.3,26.3,36.1,0.0
Alhué,2015-01-28,32.7,19.1,25.6,34.8,0.0
Alhué,2015-01-29,32.6,18.7,25.1,35.2,0.0
Alhué,2015-01-30,32.4,17.4,24.4,35.2,0.0
Alhué,2015-01-31,33.8,18.2,25.7,36.5,0.0
Alhué,2015-02-01,33.0,19.2,26.0,35.6,0.0
Alhué,2015-02-02,33.5,20.6,26.6,35.9,0.0
Alhué,2015-02-03,33.4,18.3,25.5,35.8,0.0
Alhué,2015-02-04,34.5,19.8,26.4,36.5,0.0
Alhué,2015-02-05,32.1,19.1,25.4,34.6,0.0
Alhué,2015-02-06,33.2,19.6,26.2,34.9,0.0
Alhué,2015-02-07,30.9,19.5,24.8,33.8,0.0
Alhué,2015-02-08,31.2,17.0,23.9,32.6,0.0
Alhué,2015-02-09,28.5,18.5,23.1,27.0,0.0
Alhué,2015-02-10,33.2,18.0,25.4,33.8,0.0
Alhué,2015-02-11,34.6,20.9,27.5,36.1,0.0
Alhué,2015-02-12,36.2,22.1,29.0,37.0,0.0
Alhué,2015-02-13,36.4,21.2,28.5,37.7,0.0
Alhué,2015-02-14,32.7,20.9,25.9,35.2,0.0
Alhué,2015-02-15,33.1,19.4,25.3,35.5,0.0
Alhué,2015-02-16,32.9,18.3,25.1,35.6,0.0
Alhué,2015-02-17,33.3,19.5,25.5,34.7,0.0
Alhué,2015-02-18,30.2,17.2,23.3,30.5,0.0
Alhué,2015-02-19,29.7,16.6,22.1,30.0,0.0
Alhué,2015-02-20,23.7,17.0,20.1,24.7,9.3
Alhué,2015-02-21,28.9,16.6,21.8,30.9,0.9
Alhué,2015-02-22,30.7,17.3,23.3,33.6,0.0
Alhué,2015-02-23,31.1,18.0,23.4,34.6,0.0
Alhué,2015-02-24,25.3,16.4,20.5,26.2,0.0
Alhué,2015-02-25,29.3,15.8,21.7,32.8,0.0
Alhué,2015-02-26,27.9,15.9,21.2,30.7,0.0
Alhué,2015-02-27,29.6,16.0,21.9,31.7,0.0
Alhué,2015-02-28,27.6,16.8,20.7,29.0,4.9
Alhué,2015-03-01,29.6,16.2,22.2,31.8,0.1
Alhué,2015-03-02,28.0,16.5,21.6,30.7,0.1
Alhué,2015-03-03,29.8,16.3,22.4,31.9,0.0
Alhué,2015-03-04,30.9,17.3,23.2,33.2,0.0
Alhué,2015-03-05,32.2,16.8,23.7,33.7,0.0
Alhué,2015-03-06,30.2,18.5,23.6,32.3,0.0
Alhué,2015-03-07,30.7,15.8,22.8,32.7,0.0
Alhué,2015-03-08,32.4,17.3,24.5,33.6,0.0
Alhué,2015-03-09,33.2,19.7,26.0,35.5,0.0
Alhué,2015-03-10,35.9,19.7,27.2,37.9,0.0
Alhué,2015-03-11,34.4,21.1,27.1,36.9,0.0
Alhué,2015-03-12,33.7,20.6,26.5,33.8,0.0
Alhué,2015-03-13,31.4,19.0,24.5,30.6,0.0
Alhué,2015-03-14,31.8,17.1,23.9,31.1,0.0
Alhué,2015-03-15,34.0,17.6,25.6,33.9,0.0
Alhué,2015-03-16,32.1,18.1,24.8,33.0,0.0
Alhué,2015-03-17,32.9,18.0,25.2,34.1,0.0
Alhué,2015-03-18,33.5,18.6,25.2,34.7,0.0
Alhué,2015-03-19,33.9,18.0,25.2,34.5,0.0
Alhué,2015-03-20,38.2,19.4,28.6,37.4,0.0
Alhué,2015-03-21,33.4,19.4,25.2,33.8,0.0
Alhué,2015-03-22,28.7,17.7,22.6,30.9,0.0
Alhué,2015-03-23,27.3,16.9,21.5,29.1,0.0
Alhué,2015-03-24,24.3,17.9,20.6,25.7,9.6
Alhué,2015-03-25,28.3,17.3,21.7,30.2,0.0
Alhué,2015-03-26,27.2,18.6,21.9,27.2,7.4
Alhué,2015-03-27,29.4,17.2,23.3,30.3,0.0
Alhué,2015-03-28,29.9,18.1,23.8,30.8,0.0
Alhué,2015-03-29,28.9,16.7,22.4,30.3,0.0
Alhué,2015-03-30,26.4,15.9,20.7,26.7,0.0
Alhué,2015-03-31,30.2,15.4,22.8,29.7,0.0
Alhué,2015-04-01,30.9,15.1,22.9,31.1,0.0
Alhué,2015-04-02,29.5,16.8,22.6,29.9,0.0
Alhué,2015-04-03,27.9,15.8,21.1,29.3,0.0
Alhué,2015-04-04,28.3,15.3,21.2,29.8,0.0
Alhué,2015-04-05,30.8,15.9,22.8,31.9,0.0
Alhué,2015-04-06,28.1,16.1,20.3,29.2,0.0
Alhué,2015-04-07,27.0,16.0,20.3,27.4,0.0
Alhué,2015-04-08,28.2,15.8,21.2,28.2,0.0
Alhué,2015-04-09,30.3,16.1,22.5,30.0,0.0
Alhué,2015-04-10,32.7,15.6,23.5,31.0,0.0
Alhué,2015-04-11,30.3,15.3,22.7,30.9,0.0
Alhué,2015-04-12,29.9,13.3,21.5,31.5,0.0
Alhué,2015-04-13,28.8,15.1,21.6,29.7,0.0
Alhué,2015-04-14,27.1,15.8,21.0,28.0,0.0
Alhué,2015-04-15,23.4,14.2,18.0,22.8,0.0
Alhué,2015-04-16,21.3,12.1,16.6,18.8,0.0
Alhué,2015-04-17,27.9,11.4,19.4,26.3,0.0
Alhué,2015-04-18,27.3,13.1,19.1,26.2,0.0
Alhué,2015-04-19,21.3,13.2,16.8,19.6,0.0
Alhué,2015-04-20,24.2,14.7,18.6,23.5,0.0
Alhué,2015-04-21,26.8,13.1,19.8,26.8,0.0
Alhué,2015-04-22,29.2,11.5,20.5,28.0,0.0
Alhué,2015-04-23,30.5,12.7,21.4,29.6,0.0
Alhué,2015-04-24,31.0,12.5,21.6,29.8,0.0
Alhué,2015-04-25,25.5,10.5,18.3,26.0,0.0
Alhué,2015-04-26,26.3,12.0,18.6,25.7,0.0
Alhué,2015-04-27,27.5,12.1,19.4,28.9,0.0
Alhué,2015-04-28,28.7,12.3,20.5,28.4,0.0
Alhué,2015-04-29,28.1,15.1,20.9,28.2,0.0
Alhué,2015-04-30,27.9,12.5,20.1,27.6,0.0
Alhué,2015-05-01,22.6,14.9,18.0,21.4,0.3
Alhué,2015-05-02,20.4,12.4,15.7,18.8,6.2
Alhué,2015-05-03,22.2,9.4,15.1,21.0,0.0
Alhué,2015-05-04,24.2,6.9,15.9,22.3,0.0
Alhué,2015-05-05,24.8,9.9,17.0,23.3,0.0
Alhué,2015-05-06,27.1,7.9,17.7,25.5,0.0
Alhué,2015-05-07,22.5,13.4,17.0,21.7,0.0
Alhué,2015-05-08,18.6,11.7,15.4,18.7,0.0
Alhué,2015-05-09,22.7,10.2,15.6,21.9,0.0
Alhué,2015-05-10,25.6,9.2,17.0,23.3,0.0
Alhué,2015-05-11,27.5,10.5,18.0,25.7,0.0
Alhué,2015-05-12,22.2,9.1,16.0,22.1,0.0
Alhué,2015-05-13,24.2,10.7,16.8,23.6,0.0
Alhué,2015-05-14,24.0,9.9,16.3,23.2,0.0
Alhué,2015-05-15,24.1,12.4,17.7,23.5,0.0
Alhué,2015-05-16,25.4,9.6,16.9,25.0,0.0
Alhué,2015-05-17,25.1,8.4,16.2,24.6,0.0
Alhué,2015-05-18,25.4,8.1,16.6,24.8,0.0
Alhué,2015-05-19,27.1,11.6,18.0,26.5,0.0
Alhué,2015-05-20,21.1,11.7,15.7,20.7,0.0
Alhué,2015-05-21,20.5,8.6,15.1,19.8,0.0
Alhué,2015-05-22,18.9,11.6,14.3,17.8,0.0
Alhué,2015-05-23,18.2,10.0,13.3,16.3,0.0
Alhué,2015-05-24,19.0,7.7,12.9,17.5,0.0
Alhué,2015-05-25,20.3,4.0,12.6,18.6,0.0
Alhué,2015-05-26,20.8,9.6,14.4,19.3,0.0
Alhué,2015-05-27,24.3,5.4,14.9,23.5,0.0
Alhué,2015-05-28,19.8,10.4,14.2,18.4,0.0
Alhué,2015-05-29,20.9,7.0,14.8,19.7,0.8
Alhué,2015-05-30,17.4,9.1,12.9,16.6,0.1
Alhué,2015-05-31,20.2,7.8,13.1,18.6,0.0
Alhué,2015-06-01,21.1,9.9,14.8,19.5,0.0
Alhué,2015-06-02,21.8,12.2,16.0,20.0,0.0
Alhué,2015-06-03,22.3,12.3,16.5,21.9,0.0
Alhué,2015-06-04,20.2,11.2,15.8,20.0,0.0
Alhué,2015-06-05,20.6,10.9,15.7,20.0,0.0
Alhué,2015-06-06,18.1,12.4,14.8,18.5,7.4
Alhué,2015-06-07,20.7,10.0,14.2,20.3,0.0
Alhué,2015-06-08,19.6,6.4,12.5,18.3,0.0
Alhué,2015-06-09,15.4,10.4,12.5,14.8,6.6
Alhué,2015-06-10,15.0,7.1,10.6,13.1,0.0
Alhué,2015-06-11,17.8,4.4,11.0,15.5,0.0
Alhué,2015-06-12,15.4,2.6,9.0,13.5,0.0
Alhué,2015-06-13,13.0,1.8,8.5,11.2,0.7
