name,area_km2,poblacion,pobreza_pct,ingreso,escolaridad,nse_index,pm25_mean,no2_mean,n_grid,pm25_who_ratio,no2_who_ratio,no2_column_mol_m2,blh_mean,aod_470,no2_surface_ug_m3,green_km2,green_pct,n_green,health_n_total,health_n_hospital,health_n_clinic,health_n_primary_care,health_n_pharmacy,health_n_laboratory,health_n_dental,health_n_mental_health,health_density_per_km2,health_n_access_grid,mean_nearest_health_m,median_nearest_health_m,p90_nearest_health_m,mean_nearest_hospital_m,median_nearest_hospital_m,p90_nearest_hospital_m,mean_nearest_primary_care_m,median_nearest_primary_care_m,p90_nearest_primary_care_m,mean_nearest_health_network_m,median_nearest_health_network_m,p90_nearest_health_network_m,mean_nearest_hospital_network_m,median_nearest_hospital_network_m,p90_nearest_hospital_network_m,mean_nearest_primary_care_network_m,median_nearest_primary_care_network_m,p90_nearest_primary_care_network_m,tmean_annual_c,tmax_mean_annual_c,summer_tmax_mean_c,tmax_p95_c,tmax_abs_c,apparent_tmax_mean_c,hot_days_30c,hot_days_35c,apparent_hot_days_35c,tropical_nights_20c,precip_annual_mm,heat_exposure_index,urban_heat_anomaly_c,climate_n_area_grid_points,climate_nearest_point_m,climate_used_nearest_fallback,climate_n_days,om_tmean_annual_c,om_tmax_mean_annual_c,om_tmin_mean_annual_c,om_tmean_summer_c,om_tmax_mean_summer_c,om_tmin_mean_summer_c,om_tmean_winter_c,om_tmax_mean_winter_c,om_tmin_mean_winter_c,om_hot_days_30c,om_hot_days_35c,om_tropical_nights_20c,om_frost_days,om_heat_wave_days,om_cold_spell_days,om_dtr_mean_c,om_dtr_p95_c,om_temp_monthly_sd,om_seasonal_amplitude_c,om_cdd_18,om_hdd_10,om_ehdd,om_tmax_p95_c,om_tmin_p05_c
Alhué,843.72,7691,29.11,150000.0,9.91530486733436,-1.178,10.18,11.05,9,2.04,1.11,2e-05,339.5,0.0977,2.77,0.016,0.0,4,9,0,0,6,2,0,0,0,0.0107,842,6631,5980,12478,39769,39223,50131,6865,6202,12721,424,183,1090,39769,39223,50131,487,183,1218,15.25,21.7,29.39,32.04,36.98,21.08,44.25,5.75,4.5,0.75,599.92,-0.14,-0.63,9,0.0,False,366.0,17.277322404371585,22.982513661202187,12.255737704918031,23.07142857142857,30.24615384615385,17.002197802197802,12.009782608695652,16.391304347826086,7.964130434782608,69,8,8,0,24,29,10.726775956284152,15.8,4.90997206278601,11.061645962732912,702.5,37.8,54.59999999999994,32.724999999999994,4.6499999999999995
Buin,217.49,114827,19.12,165000.0,12.41277612636229,-0.152,28.77,42.63,2,5.75,4.26,5.8e-05,318.5,0.1296,8.4,0.72,0.33,159,33,1,2,13,7,0,1,0,0.1517,216,2227,2107,3893,6728,6560,10933,2256,2123,3893,32,32,58,6728,6560,10933,32,32,58,14.73,22.21,30.24,32.71,37.6,21.49,62.0,5.5,6.0,0.5,638.55,0.3,0.21,2,0.0,False,366.0,14.154918032786885,21.873497267759564,8.072950819672132,19.930769230769233,30.08901098901099,11.820879120879123,8.389130434782608,13.794565217391304,4.109782608695652,62,6,0,9,25,33,13.800546448087433,20.549999999999997,5.027352089302679,11.541638795986623,251.4,230.4,45.40000000000005,32.475,1.5
Calera de Tango,73.05,29640,18.58,233935.0,10.24268203085722,-0.427,28.77,42.63,1,5.75,4.26,7.7e-05,313.0,0.1215,11.34,0.044,0.06,32,10,0,2,4,4,0,0,0,0.1369,73,1756,1653,3211,7893,7944,9749,2046,1933,3244,1756,1653,3211,7893,7944,9749,2046,1933,3244,14.61,22.0,29.44,32.0,36.3,21.07,50.0,3.0,3.0,0.0,649.4,-0.24,-0.59,1,0.0,False,366.0,13.968579234972678,21.6792349726776,7.833060109289619,20.115384615384617,29.16263736263736,12.627472527472523,7.598913043478261,14.033695652173911,2.928260869565218,39,3,0,30,22,29,13.846174863387978,19.6,5.489959885008538,12.516471571906354,276.19999999999993,308.09999999999997,49.050000000000026,31.8,-0.975
Cerrillos,16.92,89907,22.55,215448.0,11.70724889833302,-0.372,28.77,42.63,1,5.75,4.26,0.000165,313.0,0.1426,24.25,1.042,6.16,124,21,1,0,6,10,0,1,1,1.2412,17,527,472,856,2332,2480,3376,1021,1112,1599,527,472,856,2332,2480,3376,1021,1112,1599,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,1.04,1.07,1,0.0,False,366.0,16.10928961748634,23.233606557377048,10.51448087431694,22.468131868131863,31.09010989010989,15.386813186813187,9.865217391304348,15.244565217391305,5.7760869565217385,91,8,2,2,22,32,12.719125683060112,18.175000000000004,5.50820928258254,12.602914476827516,594.5,114.6,45.10000000000001,33.724999999999994,2.7
Cerro Navia,11.14,141122,23.02,210000.0,10.47138132790637,-0.65,15.9,17.46,0,3.18,1.75,0.000155,313.0,0.1446,22.82,0.841,7.55,159,38,1,3,9,18,0,6,1,3.4108,8,210,105,439,1432,1314,2407,484,427,861,56,56,56,1432,1314,2407,484,427,861,15.92,23.38,31.1,33.4,37.5,22.44,90.0,9.0,7.0,0.0,672.6,0.79,1.08,0,0.0,True,366.0,15.91639344262295,23.37923497267759,10.031967213114754,22.34175824175824,31.0989010989011,14.824175824175828,9.70108695652174,15.458695652173914,5.615217391304347,90,9,0,3,26,30,13.347267759562843,18.799999999999997,5.468709850293162,12.640671285236502,554.6999999999999,120.6,51.749999999999986,33.4,3.125
Colina,971.57,191338,24.58,216667.0,11.5587453849072,-0.502,10.34,7.7,11,2.07,0.77,6.9e-05,388.3,0.1231,8.17,1.25,0.13,204,54,2,2,14,24,0,5,1,0.0556,962,7870,5856,17631,14647,14032,24990,8109,6123,17631,105,61,246,14647,14032,24990,61,61,110,16.68,23.68,31.74,34.21,37.38,22.19,103.75,12.5,6.0,1.75,498.52,1.16,1.72,11,0.0,False,366.0,13.538524590163936,18.45191256830601,9.40327868852459,18.81208791208791,25.49010989010989,13.709890109890106,8.759782608695652,11.690217391304348,5.517391304347826,4,0,1,10,26,35,9.048633879781422,13.7,4.5442833968072955,10.05230530339226,171.4,325.1,48.1,28.1,1.625
Conchalí,10.98,138230,18.72,208817.0,11.42177599129404,-0.247,15.9,17.46,0,3.18,1.75,0.000216,358.9,0.1431,27.72,0.276,2.51,93,32,0,0,10,13,0,6,1,2.9139,12,385,353,728,4111,4187,5381,533,510,761,30,30,53,4111,4187,5381,2,2,2,16.06,22.69,30.43,32.68,36.2,21.48,71.0,4.0,1.0,0.0,434.7,0.03,0.4,0,0.0,True,366.0,16.061475409836067,22.694535519125687,10.713934426229509,22.08021978021978,30.42527472527472,15.012087912087914,10.4,14.906521739130437,6.829347826086957,71,4,0,0,27,24,11.980601092896176,17.275000000000006,5.092516384808906,11.68021978021978,536.6,100.7,53.24999999999994,32.675000000000004,4.4
Curacaví,693.8,37653,25.84,203945.0,10.91139198513803,-0.717,14.16,15.93,8,2.83,1.59,3.7e-05,320.7,0.1067,5.32,0.077,0.01,17,8,1,0,4,3,0,0,0,0.0115,693,8463,8086,14989,12127,12727,18639,8573,8105,15144,767,767,773,12127,12727,18639,767,767,773,15.71,22.48,29.65,31.88,37.17,22.1,55.33,5.33,5.33,1.33,484.63,0.06,-0.37,8,0.0,False,366.0,15.12650273224044,21.495628415300544,9.759016393442623,20.440659340659337,28.730769230769237,13.884615384615383,9.840217391304348,14.153260869565216,5.674999999999999,33,2,1,1,27,24,11.736612021857924,16.875,4.642467931688412,10.60044194935499,331.5,118.2,48.40000000000002,31.05,2.7
El Bosque,14.26,170902,17.48,200000.0,11.40437197945492,-0.204,28.77,42.63,0,5.75,4.26,0.000152,313.0,0.1451,22.35,0.299,2.09,95,48,0,1,13,26,0,5,1,3.3667,14,349,388,531,2470,2238,3709,631,559,1001,349,388,531,2470,2238,3709,631,559,1001,15.14,22.38,30.29,32.78,36.8,21.46,71.0,5.0,5.0,0.0,708.2,0.29,0.26,0,0.0,True,366.0,15.135245901639344,22.37896174863388,9.35792349726776,21.634065934065937,30.285714285714285,14.553846153846155,8.804347826086957,14.509782608695652,4.470652173913045,71,5,0,12,24,24,13.02103825136612,18.875,5.618395525462907,12.829718107978977,464.7,198.1,45.55000000000004,32.775,1.025
El Monte,115.33,41392,22.96,203917.0,10.75927400095544,-0.601,11.08,14.56,1,2.22,1.46,5.4e-05,316.1,0.1166,7.86,0.089,0.08,44,5,0,1,3,1,0,0,0,0.0434,114,3895,4040,6233,9250,9649,12056,3934,4040,6260,3895,4040,6233,9250,9649,12056,3934,4040,6260,14.96,22.25,28.96,31.6,38.1,21.49,44.0,6.0,4.0,0.0,551.9,-0.35,-1.06,1,0.0,False,366.0,14.260109289617487,21.7672131147541,8.516666666666666,19.64835164835165,28.64285714285714,12.891208791208792,8.568478260869565,14.41521739130435,4.2076086956521745,35,5,0,8,19,30,13.250546448087428,19.0,4.885474164349613,11.079873387482085,232.3,205.2,50.649999999999984,31.1,0.725
