name,food_n_supermarket,food_n_greengrocer,food_n_marketplace,food_n_fastfood,food_n_convenience,food_n_healthy,food_n_unhealthy,food_healthy_density,food_unhealthy_density,food_mrfei,food_swamp_ratio,food_mean_dist_supermarket_m,food_index
Alhué,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,24183.4,0.0
Buin,10,0,0,0,0,10,0,0.046,0.0,100.0,0.0,3563.8,62.5
Calera de Tango,4,0,0,0,0,4,0,0.055,0.0,100.0,0.0,2341.5,64.1
Cerrillos,8,0,0,0,0,8,0,0.473,0.0,100.0,0.0,865.3,71.7
Cerro Navia,1,0,0,0,0,1,0,0.09,0.0,100.0,0.0,1219.4,65.8
Colina,14,0,0,0,0,14,0,0.014,0.0,100.0,0.0,12928.0,51.6
Conchalí,10,0,0,0,0,10,0,0.911,0.0,100.0,0.0,545.1,78.4
Curacaví,4,0,0,0,0,4,0,0.006,0.0,100.0,0.0,9909.3,54.8
El Bosque,7,0,0,0,0,7,0,0.491,0.0,100.0,0.0,879.9,72.0
El Monte,2,0,0,0,0,2,0,0.017,0.0,100.0,0.0,5789.4,59.6
Estación Central,11,0,0,0,0,11,0,0.77,0.0,100.0,0.0,529.9,76.4
Huechuraba,8,0,0,0,0,8,0,0.178,0.0,100.0,0.0,1876.7,66.3
Independencia,10,0,0,0,0,10,0,1.373,0.0,100.0,0.0,411.4,85.1
Isla de Maipo,5,0,0,0,0,5,0,0.027,0.0,100.0,0.0,5171.6,60.5
La Cisterna,6,0,0,0,0,6,0,0.599,0.0,100.0,0.0,780.0,73.6
La Florida,27,0,0,0,0,27,0,0.38,0.0,100.0,0.0,2657.5,68.4
La Granja,7,0,0,0,0,7,0,0.696,0.0,100.0,0.0,718.1,75.1
La Pintana,3,0,0,0,0,3,0,0.098,0.0,100.0,0.0,1353.9,65.8
La Reina,9,0,0,0,0,9,0,0.381,0.0,100.0,0.0,1246.1,70.0
Lampa,10,0,0,0,0,10,0,0.022,0.0,100.0,0.0,5450.2,60.1
Las Condes,29,0,0,0,0,29,0,0.293,0.0,100.0,0.0,2998.0,66.7
Lo Barnechea,11,0,0,0,0,11,0,0.011,0.0,100.0,0.0,16087.3,48.0
Lo Espejo,1,0,0,0,0,1,0,0.122,0.0,100.0,0.0,1265.8,66.2
Lo Prado,9,0,0,0,0,9,0,1.37,0.0,100.0,0.0,452.5,85.1
Macul,9,0,0,0,0,9,0,0.702,0.0,100.0,0.0,525.8,75.4
Maipú,48,0,0,0,0,48,0,0.349,0.0,100.0,0.0,2776.3,67.8
María Pinto,5,0,0,0,0,5,0,0.013,0.0,100.0,0.0,4496.1,61.0
Melipilla,17,0,0,0,0,17,0,0.013,0.0,100.0,0.0,8383.8,56.7
Padre Hurtado,5,0,0,0,0,5,0,0.062,0.0,100.0,0.0,3800.9,62.5
Paine,5,0,0,0,0,5,0,0.007,0.0,100.0,0.0,8378.2,56.6
Pedro Aguirre Cerda,6,0,0,0,0,6,0,0.695,0.0,100.0,0.0,570.5,75.2
Peñaflor,10,0,0,0,0,10,0,0.144,0.0,100.0,0.0,2103.2,65.6
Peñalolén,21,0,0,0,0,21,0,0.392,0.0,100.0,0.0,2124.4,69.1
Pirque,3,0,0,0,0,3,0,0.007,0.0,100.0,0.0,10552.7,54.1
Providencia,28,0,0,0,0,28,0,1.94,0.0,100.0,0.0,404.2,93.3
Pudahuel,17,0,0,0,0,17,0,0.086,0.0,100.0,0.0,3793.2,62.9
Puente Alto,34,0,0,0,0,34,0,0.386,0.0,100.0,0.0,1362.5,69.9
Quilicura,14,0,0,0,0,14,0,0.246,0.0,100.0,0.0,1458.2,67.8
Quinta Normal,10,0,0,0,0,10,0,0.845,0.0,100.0,0.0,386.9,77.6
Recoleta,14,0,0,0,0,14,0,0.883,0.0,100.0,0.0,692.2,77.8
Renca,8,0,0,0,0,8,0,0.337,0.0,100.0,0.0,908.3,69.7
San Bernardo,18,0,0,0,0,18,0,0.118,0.0,100.0,0.0,2510.1,64.8
San Joaquín,5,0,0,0,0,5,0,0.503,0.0,100.0,0.0,756.7,72.3
San José de Maipo,3,0,0,0,0,3,0,0.001,0.0,100.0,0.0,37302.1,24.0
San Miguel,7,0,0,0,0,7,0,0.727,0.0,100.0,0.0,468.1,75.8
San Pedro,4,0,0,0,0,4,0,0.005,0.0,100.0,0.0,8345.0,56.6
San Ramón,3,0,0,0,0,3,0,0.476,0.0,100.0,0.0,669.5,72.0
Santiago,56,0,0,0,0,56,0,2.406,0.0,100.0,0.0,389.2,100.0
Talagante,8,0,0,0,0,8,0,0.062,0.0,100.0,0.0,3512.5,62.8
Tiltil,1,0,0,0,0,1,0,0.002,0.0,100.0,0.0,10190.9,54.5
Vitacura,9,0,0,0,0,9,0,0.318,0.0,100.0,0.0,1123.9,69.2
Ñuñoa,22,0,0,0,0,22,0,1.301,0.0,100.0,0.0,498.3,84.0
