name,area_km2,green_osm_km2,green_osm_pct,green_osm_n,dist_to_nearest_park_m,green_area_within_300m_km2,green_area_within_500m_km2,green_area_within_1000m_km2,green_count_within_300m,green_count_within_500m,green_count_within_1000m
Alhué,843.7231565253592,0.016,0.0,4,4000,0.016,0.016,0.016,4,4,4
Buin,217.4870765166865,0.72,0.33,159,188,0.746,0.772,0.804,160,163,172
Calera de Tango,73.04670721750554,0.044,0.06,32,831,0.095,0.118,0.206,74,93,130
Cerrillos,16.91976540726597,1.042,6.16,123,257,1.298,1.486,1.844,181,218,329
Cerro Navia,11.1409923410993,0.841,7.55,159,109,1.028,1.102,1.254,182,204,252
Colina,971.572458411833,1.25,0.13,204,6072,1.282,1.282,1.302,204,204,205
Conchalí,10.981814316952168,0.276,2.51,93,203,0.352,0.357,0.427,101,105,132
Curacaví,693.7986497365545,0.077,0.01,17,4203,0.077,0.077,0.08,17,17,19
El Bosque,14.257401066876932,0.299,2.09,95,267,0.399,0.446,0.661,144,169,239
El Monte,115.32500548527088,0.089,0.08,44,2156,0.089,0.099,0.285,45,57,77
Estación Central,14.286210447826248,0.423,2.96,82,114,0.551,0.647,1.252,118,165,260
Huechuraba,44.961776496679434,0.855,1.9,90,163,0.465,0.489,1.007,103,122,163
Independencia,7.283932271741198,0.126,1.73,39,317,0.219,0.447,0.652,55,66,120
Isla de Maipo,187.5459843400852,0.797,0.42,42,3914,0.807,0.807,0.807,45,45,45
La Cisterna,10.010720078249644,0.121,1.21,29,396,0.189,0.214,0.387,46,65,143
La Florida,71.1210522666309,1.011,1.42,326,957,1.207,1.35,2.354,383,429,583
La Granja,10.05972177854653,0.775,7.71,150,72,0.876,0.964,1.241,193,226,347
La Pintana,30.533393046693345,0.64,2.1,222,225,0.798,0.928,1.281,316,372,523
La Reina,23.64155193370517,1.17,4.95,94,271,1.302,1.483,1.827,130,155,239
Lampa,450.07304175821884,0.712,0.16,142,88,0.712,0.712,0.712,142,142,143
Las Condes,98.90203406407547,1.314,1.33,234,1155,1.47,2.006,2.361,275,308,376
Lo Barnechea,1022.1297930626228,1.813,0.18,142,10353,1.814,1.836,1.851,145,146,153
Lo Espejo,8.194771356519686,0.274,3.34,58,102,0.346,0.372,0.487,76,89,158
Lo Prado,6.5696894359848965,0.209,3.18,84,58,0.274,0.334,0.446,110,120,169
Macul,12.81375558134934,0.364,2.84,96,137,0.529,0.611,0.939,129,167,267
Maipú,137.6083323875252,2.175,1.58,720,1026,2.311,2.445,2.699,762,793,853
María Pinto,394.62227541126543,0.067,0.02,8,4386,0.067,0.067,0.067,8,8,8
Melipilla,1343.1265099756665,0.515,0.04,70,4130,0.515,0.515,0.515,70,70,70
Padre Hurtado,81.22443358814272,0.527,0.65,176,3213,0.541,0.604,0.915,196,214,260
Paine,678.1358046412458,0.251,0.04,86,814,0.253,0.253,0.254,87,87,88
Pedro Aguirre Cerda,8.636814394202121,0.429,4.97,85,279,0.523,0.6,0.8,108,129,207
Peñaflor,69.31756826885692,0.631,0.91,65,195,0.914,0.917,0.949,65,67,84
Peñalolén,53.62334767694691,1.806,3.37,208,127,1.93,2.07,2.929,243,279,379
Pirque,444.69895673936196,0.338,0.08,36,3128,0.351,0.366,0.552,40,55,103
Providencia,14.432959755289843,2.243,15.54,120,214,0.74,0.805,1.059,156,180,249
Pudahuel,197.45244233660642,0.82,0.42,197,3050,0.905,1.233,1.524,241,280,399
Puente Alto,88.13342555691855,2.418,2.74,665,51,2.706,2.744,3.103,695,712,781
Quilicura,56.99201354866873,0.732,1.28,388,86,0.831,0.885,1.389,417,437,493
Quinta Normal,11.832492258790195,0.427,3.61,25,209,0.406,0.471,0.983,57,74,136
Recoleta,15.851037225594844,2.72,17.16,57,298,0.616,0.68,1.15,94,112,201
Renca,23.746435810535132,0.473,1.99,69,119,1.16,1.224,1.427,111,149,264
San Bernardo,153.14373172094295,1.691,1.1,295,421,2.364,2.475,2.66,333,353,422
San Joaquín,9.937976304933375,0.371,3.73,75,222,0.424,0.494,0.79,101,122,178
San José de Maipo,4984.910043200271,0.115,0.0,16,14117,0.115,0.115,0.12,16,16,23
San Miguel,9.628513022449877,0.195,2.03,33,373,0.227,0.311,0.56,54,75,120
San Pedro,794.8391508021717,0.025,0.0,5,3594,0.025,0.025,0.025,5,5,5
San Ramón,6.307777940004786,0.262,4.15,73,192,0.336,0.384,0.61,103,146,232
Santiago,23.276273577117394,2.055,8.83,261,55,2.487,2.608,2.93,324,358,418
Talagante,128.00823676158703,0.376,0.29,94,1923,0.381,0.39,0.663,97,104,115
Tiltil,654.8702700541278,0.109,0.02,18,5068,0.112,0.112,0.112,18,18,18
Vitacura,28.29370286224916,1.549,5.48,113,113,0.861,1.171,1.487,132,152,204
Ñuñoa,16.9120528554829,1.107,6.55,117,275,1.166,1.264,1.485,157,191,243
