name,area_km2,ndvi_mean,ndvi_max,evi_mean,evi_max,green_cover_pct_ndvi,green_cover_pct_evi
Alhué,843.7231565253592,0.5355,0.8857,0.2551,1.2674,96.2,92.35
Buin,217.4870765166865,0.4213,0.8856,0.2514,0.7903,91.32,82.99
Calera de Tango,73.04670721750554,0.4739,0.8863,0.2921,0.8171,98.02,92.22
Cerrillos,16.91976540726597,0.1826,0.8071,0.1202,0.6923,35.05,24.16
Cerro Navia,11.1409923410993,0.1776,0.798,0.1169,0.6456,29.4,20.45
Colina,971.572458411833,0.2603,0.8821,0.1381,0.7931,80.48,28.67
Conchalí,10.981814316952168,0.1746,0.6336,0.1138,0.3892,30.82,17.74
Curacaví,693.7986497365545,0.4196,0.8975,0.2126,0.8359,99.24,87.86
El Bosque,14.257401066876932,0.1677,0.8496,0.1138,1.3538,27.95,19.74
El Monte,115.32500548527088,0.4984,0.8991,0.2738,0.7541,98.07,91.87
Estación Central,14.286210447826248,0.1869,0.853,0.1197,0.7982,35.06,23.69
Huechuraba,44.961776496679434,0.2936,0.8356,0.1631,0.805,82.68,45.28
Independencia,7.283932271741198,0.1601,0.7779,0.1029,0.6715,23.51,12.07
Isla de Maipo,187.5459843400852,0.4758,0.8972,0.2702,0.8333,95.33,90.55
La Cisterna,10.010720078249644,0.1699,0.8132,0.1102,0.8004,25.48,11.5
La Florida,71.1210522666309,0.288,0.8683,0.1482,0.7443,66.95,45.51
La Granja,10.05972177854653,0.1483,0.7532,0.1015,0.6616,17.33,11.28
La Pintana,30.533393046693345,0.298,0.8449,0.1937,0.7883,60.74,53.42
La Reina,23.64155193370517,0.3529,0.7984,0.1901,0.6964,90.56,67.09
Lampa,450.07304175821884,0.3468,0.8718,0.1989,0.7607,93.73,76.56
Las Condes,98.90203406407547,0.3221,0.8422,0.1588,0.7685,83.3,54.9
Lo Barnechea,1022.1297930626228,0.2225,0.9658,0.1039,43.9518,56.84,25.59
Lo Espejo,8.194771356519686,0.1362,0.6854,0.093,0.498,15.1,9.2
Lo Prado,6.5696894359848965,0.1573,0.7795,0.1057,0.6517,21.85,13.8
Macul,12.81375558134934,0.1988,0.8387,0.1286,0.8014,45.75,28.66
Maipú,137.6083323875252,0.3002,0.854,0.1828,0.8258,72.98,61.71
María Pinto,394.62227541126543,0.4874,0.905,0.2752,0.8162,99.58,96.91
Melipilla,1343.1265099756665,0.5053,0.9047,0.277,0.8626,98.72,95.23
Padre Hurtado,81.22443358814272,0.4076,0.8736,0.2461,0.7788,90.47,81.79
Paine,678.1358046412458,0.4871,0.8955,0.2509,0.7835,97.0,90.26
Pedro Aguirre Cerda,8.636814394202121,0.1469,0.7269,0.0994,0.6559,16.07,10.06
Peñaflor,69.31756826885692,0.4426,0.8705,0.2746,0.7914,92.65,87.93
Peñalolén,53.62334767694691,0.3107,0.8388,0.1531,0.752,73.54,50.31
Pirque,444.69895673936196,0.4298,0.868,0.2135,0.738,90.54,78.61
Providencia,14.432959755289843,0.2813,0.7774,0.1567,0.7043,71.38,49.17
Pudahuel,197.45244233660642,0.3002,0.8774,0.1746,0.7654,78.78,65.52
Puente Alto,88.13342555691855,0.2805,0.8468,0.1563,0.8594,60.63,47.51
Quilicura,56.99201354866873,0.2126,0.8422,0.1354,0.6976,53.42,36.29
Quinta Normal,11.832492258790195,0.1686,0.6759,0.1099,0.5047,27.6,15.3
Recoleta,15.851037225594844,0.2085,0.7863,0.1252,0.6614,40.88,27.59
Renca,23.746435810535132,0.186,0.7335,0.118,0.6235,41.78,23.52
San Bernardo,153.14373172094295,0.3301,0.8839,0.2005,1.0527,74.33,64.92
San Joaquín,9.937976304933375,0.1489,0.7218,0.1002,0.6097,18.79,11.03
San José de Maipo,4984.910043200271,0.1448,0.9994,0.0706,2872.4835,28.37,14.25
San Miguel,9.628513022449877,0.1673,0.7826,0.1052,0.7568,29.87,15.13
San Pedro,794.8391508021717,0.4843,0.8986,0.258,0.7044,98.93,97.39
San Ramón,6.307777940004786,0.1365,0.6793,0.0931,0.5352,13.28,7.65
Santiago,23.276273577117394,0.1631,0.7989,0.0975,0.6785,24.82,15.35
Talagante,128.00823676158703,0.4389,0.8859,0.2616,0.8408,94.95,86.53
Tiltil,654.8702700541278,0.3025,0.8713,0.1648,0.8072,90.65,56.46
Vitacura,28.29370286224916,0.387,0.8339,0.2067,0.7626,90.8,74.46
Ñuñoa,16.9120528554829,0.245,0.7278,0.1461,0.615,67.5,46.04
