name,cv_green_pct_mean,cv_green_pct_std,osm_green_pct_mean,cv_outside_osm_pct_mean,n_samples
Alhué,0.38,0.0,0.0,100.0,1
Buin,2.54,0.0,0.0,100.0,1
Calera de Tango,0.28,0.0,0.0,100.0,1
Cerrillos,3.5,0.0,8.67,81.23,1
Cerro Navia,5.33,0.0,11.96,80.43,1
Colina,4.37,0.0,0.0,100.0,1
Conchalí,1.97,0.0,1.21,95.63,1
Curacaví,9.03,0.0,0.0,100.0,1
El Bosque,1.65,0.0,3.24,90.07,1
El Monte,34.74,0.0,0.0,100.0,1
Estación Central,4.91,0.0,24.8,28.81,1
Huechuraba,6.8,0.0,6.41,75.75,1
Independencia,6.82,0.0,13.34,80.19,1
Isla de Maipo,36.82,0.0,0.0,100.0,1
La Cisterna,2.72,0.0,6.51,62.53,1
La Florida,0.77,0.0,0.0,100.0,1
La Granja,1.17,0.0,1.11,93.95,1
La Pintana,10.45,0.0,2.55,100.0,1
La Reina,10.06,0.0,0.0,100.0,1
Lampa,1.69,0.0,0.0,100.0,1
Las Condes,2.76,0.0,0.0,100.0,1
Lo Barnechea,2.1,0.0,0.0,100.0,1
Lo Espejo,1.27,0.0,1.86,82.28,1
Lo Prado,1.82,0.0,3.48,57.86,1
Macul,7.95,0.0,2.38,79.12,1
Maipú,26.9,0.0,0.0,100.0,1
María Pinto,14.59,0.0,0.0,100.0,1
Melipilla,16.73,0.0,0.0,100.0,1
Padre Hurtado,8.08,0.0,7.46,88.4,1
Paine,19.83,0.0,0.0,100.0,1
Pedro Aguirre Cerda,4.01,0.0,6.47,77.66,1
Peñaflor,9.54,0.0,0.0,100.0,1
Peñalolén,16.12,0.0,1.08,96.5,1
Pirque,4.05,0.0,0.0,100.0,1
Providencia,11.75,0.0,10.1,68.43,1
Pudahuel,21.44,0.0,0.39,99.12,1
Puente Alto,0.9,0.0,4.94,53.18,1
Quilicura,4.75,0.0,0.0,100.0,1
Quinta Normal,3.17,0.0,0.0,100.0,1
Recoleta,6.54,0.0,1.82,92.02,1
Renca,13.3,0.0,0.0,100.0,1
San Bernardo,14.46,0.0,0.0,100.0,1
San Joaquín,8.38,0.0,1.56,95.75,1
San José de Maipo,1.68,0.0,0.0,100.0,1
San Miguel,1.32,0.0,0.38,99.85,1
San Pedro,25.04,0.0,0.0,100.0,1
San Ramón,4.74,0.0,0.62,96.81,1
Santiago,5.18,0.0,22.81,31.82,1
Talagante,30.0,0.0,0.0,100.0,1
Tiltil,13.98,0.0,0.0,100.0,1
Vitacura,13.41,0.0,2.69,93.63,1
Ñuñoa,14.47,0.0,3.69,86.82,1
