name,sample_id,cv_green_pct,osm_green_pct,cv_inside_osm_pct,cv_outside_osm_pct,method,zoom,exg_threshold
Alhué,0,0.38,0.0,0.0,100.0,exg,17,0.506
Buin,1,2.54,0.0,0.0,100.0,exg,17,0.061
Calera de Tango,2,0.28,0.0,0.0,100.0,exg,17,0.658
Cerrillos,3,3.5,8.67,18.77,81.23,exg,17,0.471
Cerro Navia,4,5.33,11.96,19.57,80.43,exg,17,0.283
Colina,5,4.37,0.0,0.0,100.0,exg,17,0.05
Conchalí,6,1.97,1.21,4.37,95.63,exg,17,0.342
Curacaví,7,9.03,0.0,0.0,100.0,exg,17,0.143
El Bosque,8,1.65,3.24,9.93,90.07,exg,17,0.354
El Monte,9,34.74,0.0,0.0,100.0,exg,17,0.268
Estación Central,10,4.91,24.8,71.19,28.81,exg,17,0.576
Huechuraba,11,6.8,6.41,24.25,75.75,exg,17,0.236
Independencia,12,6.82,13.34,19.81,80.19,exg,17,0.389
Isla de Maipo,13,36.82,0.0,0.0,100.0,exg,17,0.179
La Cisterna,14,2.72,6.51,37.47,62.53,exg,17,0.447
La Florida,15,0.77,0.0,0.0,100.0,exg,17,0.236
La Granja,16,1.17,1.11,6.05,93.95,exg,17,0.377
La Pintana,17,10.45,2.55,0.0,100.0,exg,17,0.213
La Reina,18,10.06,0.0,0.0,100.0,exg,17,0.159
Lampa,19,1.69,0.0,0.0,100.0,exg,17,0.447
Las Condes,20,2.76,0.0,0.0,100.0,exg,17,0.05
Lo Barnechea,21,2.1,0.0,0.0,100.0,exg,17,0.225
Lo Espejo,22,1.27,1.86,17.72,82.28,exg,17,0.342
Lo Prado,23,1.82,3.48,42.14,57.86,exg,17,0.33
Macul,24,7.95,2.38,20.88,79.12,exg,17,0.213
Maipú,25,26.9,0.0,0.0,100.0,exg,17,0.213
María Pinto,26,14.59,0.0,0.0,100.0,exg,17,0.085
Melipilla,27,16.73,0.0,0.0,100.0,exg,17,0.219
Padre Hurtado,28,8.08,7.46,11.6,88.4,exg,17,0.365
Paine,29,19.83,0.0,0.0,100.0,exg,17,0.107
Pedro Aguirre Cerda,30,4.01,6.47,22.34,77.66,exg,17,0.26
Peñaflor,31,9.54,0.0,0.0,100.0,exg,17,0.471
Peñalolén,32,16.12,1.08,3.5,96.5,exg,17,0.14
Pirque,33,4.05,0.0,0.0,100.0,exg,17,0.05
Providencia,34,11.75,10.1,31.57,68.43,exg,17,0.342
Pudahuel,35,21.44,0.39,0.88,99.12,exg,17,0.119
Puente Alto,36,0.9,4.94,46.82,53.18,exg,17,0.471
Quilicura,37,4.75,0.0,0.0,100.0,exg,17,0.166
Quinta Normal,38,3.17,0.0,0.0,100.0,exg,17,0.389
Recoleta,39,6.54,1.82,7.98,92.02,exg,17,0.143
Renca,40,13.3,0.0,0.0,100.0,exg,17,0.404
San Bernardo,41,14.46,0.0,0.0,100.0,exg,17,0.061
San Joaquín,42,8.38,1.56,4.25,95.75,exg,17,0.154
San José de Maipo,43,1.68,0.0,0.0,100.0,exg,17,0.11
San Miguel,44,1.32,0.38,0.15,99.85,exg,17,0.611
San Pedro,45,25.04,0.0,0.0,100.0,exg,17,0.063
San Ramón,46,4.74,0.62,3.19,96.81,exg,17,0.318
Santiago,47,5.18,22.81,68.18,31.82,exg,17,0.412
Talagante,48,30.0,0.0,0.0,100.0,exg,17,0.307
Tiltil,49,13.98,0.0,0.0,100.0,exg,17,0.072
Vitacura,50,13.41,2.69,6.37,93.63,exg,17,0.185
Ñuñoa,51,14.47,3.69,13.18,86.82,exg,17,0.248
