name,area_km2,n_total,n_hospital,n_clinic,n_primary_care,n_pharmacy,n_laboratory,n_dental,n_mental_health,density_per_km2,n_access_grid,mean_nearest_health_m,median_nearest_health_m,p90_nearest_health_m,mean_nearest_hospital_m,median_nearest_hospital_m,p90_nearest_hospital_m,mean_nearest_primary_care_m,median_nearest_primary_care_m,p90_nearest_primary_care_m,mean_nearest_health_network_m,median_nearest_health_network_m,p90_nearest_health_network_m,mean_nearest_hospital_network_m,median_nearest_hospital_network_m,p90_nearest_hospital_network_m,mean_nearest_primary_care_network_m,median_nearest_primary_care_network_m,p90_nearest_primary_care_network_m
Alhué,843.72,9,0,0,6,2,0,0,0,0.0107,842,6631,5980,12478,39769,39223,50131,6865,6202,12721,424,183,1090,39769,39223,50131,487,183,1218
Buin,217.49,33,1,2,13,7,0,1,0,0.1517,216,2227,2107,3893,6728,6560,10933,2256,2123,3893,32,32,58,6728,6560,10933,32,32,58
Calera de Tango,73.05,10,0,2,4,4,0,0,0,0.1369,73,1756,1653,3211,7893,7944,9749,2046,1933,3244,1756,1653,3211,7893,7944,9749,2046,1933,3244
Cerrillos,16.92,21,1,0,6,10,0,1,1,1.2412,17,527,472,856,2332,2480,3376,1021,1112,1599,527,472,856,2332,2480,3376,1021,1112,1599
Cerro Navia,11.14,38,1,3,9,18,0,6,1,3.4108,8,210,105,439,1432,1314,2407,484,427,861,56,56,56,1432,1314,2407,484,427,861
Colina,971.57,54,2,2,14,24,0,5,1,0.0556,962,7870,5856,17631,14647,14032,24990,8109,6123,17631,105,61,246,14647,14032,24990,61,61,110
Conchalí,10.98,32,0,0,10,13,0,6,1,2.9139,12,385,353,728,4111,4187,5381,533,510,761,30,30,53,4111,4187,5381,2,2,2
Curacaví,693.8,8,1,0,4,3,0,0,0,0.0115,693,8463,8086,14989,12127,12727,18639,8573,8105,15144,767,767,773,12127,12727,18639,767,767,773
El Bosque,14.26,48,0,1,13,26,0,5,1,3.3667,14,349,388,531,2470,2238,3709,631,559,1001,349,388,531,2470,2238,3709,631,559,1001
El Monte,115.33,5,0,1,3,1,0,0,0,0.0434,114,3895,4040,6233,9250,9649,12056,3934,4040,6260,3895,4040,6233,9250,9649,12056,3934,4040,6260
Estación Central,14.29,49,1,6,7,23,0,5,1,3.4299,15,323,345,477,1464,1385,2144,719,677,1074,323,345,477,1464,1385,2144,719,677,1074
Huechuraba,44.96,38,0,2,7,20,0,5,1,0.8452,44,1339,1027,2800,6355,6485,8344,1726,1589,3159,1339,1027,2800,6355,6485,8344,1726,1589,3159
Independencia,7.28,46,6,6,6,11,0,7,1,6.3153,6,245,188,407,1291,1397,1820,550,473,934,245,188,407,1291,1397,1820,550,473,934
Isla de Maipo,187.55,14,0,0,12,2,0,0,0,0.0746,183,2757,2359,5530,10559,10647,13668,2815,2393,5643,60,37,123,10559,10647,13668,60,37,123
La Cisterna,10.01,46,0,7,6,23,0,8,0,4.5951,9,413,421,689,3665,3790,4471,617,742,958,413,421,689,3665,3790,4471,617,742,958
La Florida,71.12,133,1,14,26,56,2,22,1,1.8701,66,2346,1093,6062,4723,3964,8702,2545,1475,6204,2346,1093,6062,4723,3964,8702,2545,1475,6204
La Granja,10.06,26,0,1,10,8,0,6,1,2.5846,9,441,482,602,1905,1840,2596,617,617,847,441,482,602,1905,1840,2596,617,617,847
La Pintana,30.53,20,0,0,13,4,1,0,1,0.655,30,900,743,1673,3209,3189,4951,942,778,1673,185,185,334,3209,3189,4951,942,778,1673
La Reina,23.64,55,1,8,7,24,0,7,1,2.3264,21,632,482,1491,1843,1705,2918,1012,895,1963,632,482,1491,1843,1705,2918,1012,895,1963
Lampa,450.07,20,0,1,9,5,1,3,1,0.0444,449,4670,4075,9213,15541,15416,20239,4975,4263,9367,111,111,111,15541,15416,20239,111,111,111
Las Condes,98.9,211,5,21,10,107,7,23,1,2.1334,101,2454,1440,6463,3552,2931,7227,2985,2246,6615,361,361,428,3552,2931,7227,2985,2246,6615
Lo Barnechea,1022.13,45,0,9,6,18,1,5,1,0.044,1024,9923,8891,19433,19699,19770,30466,10878,9691,20499,9923,8891,19433,19699,19770,30466,10878,9691,20499
Lo Espejo,8.19,11,0,0,8,2,0,0,1,1.3423,8,590,463,1086,4360,4344,5100,647,515,1086,590,463,1086,4360,4344,5100,647,515,1086
Lo Prado,6.57,27,0,3,9,11,0,2,1,4.1098,6,218,114,458,1921,1936,2357,480,477,846,107,107,107,1921,1936,2357,480,477,846
Macul,12.81,33,0,6,5,9,0,6,1,2.5754,13,344,279,517,2097,2179,2734,741,750,1175,344,279,517,2097,2179,2734,741,750,1175
Maipú,137.61,123,2,13,29,46,3,16,2,0.8938,138,2201,1528,5451,5042,4000,10429,2497,1712,5914,1,1528,4,5042,4000,10429,17,1712,41
María Pinto,394.62,6,0,0,5,1,0,0,0,0.0152,388,4593,3949,8311,13365,13779,18162,4627,4002,8311,678,685,941,13365,13779,18162,678,685,941
Melipilla,1343.13,39,2,3,17,8,0,2,1,0.029,1360,6770,6625,12023,14027,13595,23404,6856,6693,12019,94,117,155,14027,13595,23404,82,82,148
Padre Hurtado,81.22,8,0,3,3,2,0,0,0,0.0985,80,3494,3243,6534,6601,6661,8522,3967,3782,6534,508,508,508,6601,6661,8522,508,508,508
Paine,678.14,18,0,2,10,3,0,0,0,0.0265,678,4740,3985,9133,18556,18519,26182,4844,4181,9133,460,460,678,18556,18519,26182,460,460,678
Pedro Aguirre Cerda,8.64,24,1,3,10,7,1,0,1,2.7788,8,401,385,553,2302,2356,3214,472,453,748,401,385,553,2302,2356,3214,472,453,748
Peñaflor,69.32,20,1,1,8,2,1,1,1,0.2885,68,1765,1524,3632,3624,3510,6137,2217,2223,3828,1765,1524,3632,3624,3510,6137,2217,2223,3828
Peñalolén,53.62,65,3,4,12,26,1,10,1,1.2122,50,1990,1025,4946,4048,3830,7198,2330,1761,5115,91,91,163,4048,3830,7198,2330,1761,5115
Pirque,444.7,16,0,1,9,5,0,0,1,0.036,444,6315,5340,13419,12656,12066,21099,6338,5340,13419,6315,5340,13419,12656,12066,21099,6338,5340,13419
Providencia,14.43,237,11,35,15,83,15,19,1,16.4207,12,271,214,580,833,718,1678,565,565,818,375,375,375,833,718,1678,565,565,818
Pudahuel,197.45,71,1,7,24,26,0,7,2,0.3596,193,3262,2483,7395,10315,10136,16577,4172,3743,8036,76,30,185,10315,10136,16577,245,245,245
Puente Alto,88.13,129,7,14,26,45,1,18,3,1.4637,88,1162,775,2953,2968,2550,5624,1620,1195,3523,149,149,169,2968,2550,5624,1620,1195,3523
Quilicura,56.99,98,0,7,16,46,0,21,1,1.7195,56,1003,778,2079,7914,8188,10000,1509,1355,2824,28,28,28,7914,8188,10000,1509,1355,2824
Quinta Normal,11.83,27,0,2,10,12,0,2,1,2.2819,9,363,317,587,2670,2776,3219,555,593,885,153,153,153,2670,2776,3219,153,153,153
Recoleta,15.85,58,1,5,9,25,3,12,1,3.6591,15,413,424,702,1768,1491,3071,692,539,1138,350,350,631,1768,1491,3071,692,539,1138
Renca,23.75,28,0,0,10,12,2,2,1,1.1791,22,542,503,921,3344,3345,4240,821,840,1120,542,503,921,3344,3345,4240,821,840,1120
San Bernardo,153.14,94,2,8,21,32,4,12,1,0.6138,153,1687,1627,2996,4928,5031,7431,1995,2051,3312,98,108,139,4928,5031,7431,93,93,136
San Joaquín,9.94,22,0,0,13,7,0,0,1,2.2137,8,312,290,484,1871,2053,2621,345,327,603,11,11,11,1871,2053,2621,11,11,11
San José de Maipo,4984.91,8,1,0,6,0,0,0,1,0.0016,4982,23402,22113,41779,37728,37920,61712,23420,22128,41779,23402,22113,41779,37728,37920,61712,23420,22128,41779
San Miguel,9.63,61,4,5,6,19,3,8,1,6.3354,8,257,289,414,1821,1900,2808,474,424,731,88,88,88,1821,1900,2808,474,424,731
San Pedro,794.84,8,0,0,7,1,0,0,0,0.0101,931,6970,6686,12167,35820,34889,46815,7083,6887,12225,1102,1012,1838,35820,34889,46815,1102,1012,1838
San Ramón,6.31,24,1,1,7,10,1,2,2,3.8048,5,255,239,322,1790,1615,3097,292,250,367,407,407,407,1790,1615,3097,292,250,367
Santiago,23.28,288,7,18,17,155,14,21,1,12.3731,21,241,192,409,875,883,1431,533,498,873,94,123,152,875,883,1431,159,159,159
Talagante,128.01,41,2,4,8,12,0,9,1,0.3203,129,2330,2197,4124,5331,5321,8738,2630,2782,4145,2330,2197,4124,5331,5321,8738,2630,2782,4145
Tiltil,654.87,12,1,1,7,1,0,0,1,0.0183,656,4414,4208,7405,10587,10297,16896,4525,4323,7490,457,154,1003,10587,10297,16896,685,685,1109
Vitacura,28.29,71,0,14,4,35,1,6,1,2.5094,29,745,419,1661,3223,3083,4819,2257,2259,3413,745,419,1661,3223,3083,4819,2257,2259,3413
Ñuñoa,16.91,126,1,11,9,72,4,14,1,7.4503,16,208,213,360,1326,1220,1895,638,673,972,631,631,631,1326,1220,1895,638,673,972
