name,hm_pb_kg,hm_mn_kg,hm_as_kg,hm_cd_kg,hm_hg_kg,n_sources,hm_pb_log,hm_as_log,hm_index
Alhué,0.0,0.0,0.0,0.0,3.22,4,0.0,0.0,-0.085
Buin,0.15,0.0,1.47,0.0,0.39,74,0.14,0.904,-0.081
Calera de Tango,0.0,0.0,0.0,0.0,0.03,12,0.0,0.0,-0.085
Cerrillos,0.07,0.0,677.66,0.0,183.75,84,0.068,6.52,1.362
Cerro Navia,0.0,0.0,0.01,0.0,0.01,21,0.0,0.01,-0.085
Colina,0.11,0.0,0.26,0.0,15.3,101,0.104,0.231,-0.084
Conchalí,0.03,0.0,2.18,0.0,0.38,53,0.03,1.157,-0.08
Curacaví,0.0,0.0,0.0,0.0,0.07,34,0.0,0.0,-0.085
El Bosque,0.02,0.0,0.01,0.0,0.01,33,0.02,0.01,-0.085
El Monte,2.93,0.0,2.21,0.0,1.09,12,1.369,1.166,-0.079
Estación Central,0.05,0.0,2.66,0.0,0.03,93,0.049,1.297,-0.079
Huechuraba,0.03,0.0,0.86,0.0,0.07,117,0.03,0.621,-0.083
Independencia,0.21,0.0,0.75,0.0,0.02,57,0.191,0.56,-0.083
Isla de Maipo,0.24,0.0,1.27,0.0,0.1,21,0.215,0.82,-0.082
La Cisterna,0.01,0.0,0.39,0.0,0.01,38,0.01,0.329,-0.084
La Florida,0.03,0.0,0.76,0.0,0.04,124,0.03,0.565,-0.083
La Granja,0.05,0.0,0.03,0.0,0.09,27,0.049,0.03,-0.085
La Pintana,0.4,0.0,0.18,0.0,0.06,26,0.336,0.166,-0.084
La Reina,0.03,0.0,0.22,0.0,0.03,52,0.03,0.199,-0.084
Lampa,7.14,0.0,6.37,0.0,4.07,114,2.097,1.997,-0.069
Las Condes,1.03,0.0,20.75,0.0,0.76,757,0.708,3.08,-0.04
Lo Barnechea,0.18,0.0,2.98,0.0,0.1,144,0.166,1.381,-0.078
Lo Espejo,0.01,0.0,0.05,0.0,0.01,18,0.01,0.049,-0.084
Lo Prado,0.01,0.0,0.02,0.0,0.0,21,0.01,0.02,-0.085
Macul,0.11,0.0,3.98,0.0,0.03,83,0.104,1.605,-0.076
Maipú,1.79,0.0,12.16,0.0,1.65,193,1.026,2.577,-0.058
María Pinto,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-0.085
Melipilla,1.27,0.0,2.31,0.0,0.49,83,0.82,1.197,-0.079
Padre Hurtado,0.1,0.0,0.05,0.0,0.05,21,0.095,0.049,-0.084
Paine,0.03,0.0,0.81,0.0,0.86,43,0.03,0.593,-0.083
Pedro Aguirre Cerda,0.0,0.0,0.02,0.0,0.0,18,0.0,0.02,-0.085
Peñaflor,0.07,0.0,0.74,0.0,0.0,36,0.068,0.554,-0.083
Peñalolén,0.05,0.0,0.81,0.0,0.08,71,0.049,0.593,-0.083
Pirque,0.04,0.0,0.02,0.0,0.17,19,0.039,0.02,-0.085
Providencia,0.36,0.0,10.39,0.0,1.15,414,0.307,2.433,-0.062
Pudahuel,0.34,0.0,4.24,0.0,0.49,220,0.293,1.656,-0.075
Puente Alto,0.17,0.0,8.17,0.0,0.24,120,0.157,2.216,-0.067
Quilicura,7.57,0.0,10.28,0.0,5.29,229,2.148,2.423,-0.061
Quinta Normal,0.02,0.0,9.44,0.0,0.13,56,0.02,2.346,-0.064
Recoleta,0.03,0.0,1.4,0.0,0.04,57,0.03,0.875,-0.082
Renca,5.33,0.0,6.24,0.0,3.16,89,1.845,1.98,-0.07
San Bernardo,2.33,0.0,15.79,0.0,0.17,202,1.203,2.821,-0.05
San Joaquín,0.03,0.0,1.45,0.0,0.26,49,0.03,0.896,-0.081
San José de Maipo,0.0,0.0,0.0,0.0,0.07,27,0.0,0.0,-0.085
San Miguel,0.07,0.0,1.06,0.0,0.02,75,0.068,0.723,-0.082
San Pedro,0.04,0.0,0.02,0.0,0.04,30,0.039,0.02,-0.085
San Ramón,0.05,0.0,0.02,0.0,0.01,11,0.049,0.02,-0.085
Santiago,0.69,0.0,8.34,0.0,0.21,444,0.525,2.234,-0.067
Talagante,1.8,0.0,3.29,0.0,0.29,35,1.03,1.456,-0.077
Tiltil,10629.34,0.0,39.11,0.0,12.09,24,9.271,3.692,2.523
Vitacura,0.23,0.0,7.3,0.0,0.12,342,0.207,2.116,-0.069
Ñuñoa,0.2,0.0,5.36,0.0,0.59,224,0.182,1.85,-0.073
