name,outcome,hospital_year_start,hospital_year_end,hospital_n_years,hospital_admissions_total,hospital_rate_crude_per_100k,hospital_rate_age_adjusted_per_100k,hospital_days_total,hospital_mean_los_days,hospital_in_hospital_deaths_total,hospital_low_count_flag,hospital_admissions_0_14,hospital_rate_0_14_per_100k,hospital_admissions_15_64,hospital_rate_15_64_per_100k,hospital_admissions_65_plus,hospital_rate_65_plus_per_100k
Alhué,all_cause,2006,2006,1,320.0,4965.8597,5290.6915,1581.0,4.9406,4.0,0,88.0,10045.6621,164.0,3340.8026,68.0,10318.6646
Buin,all_cause,2006,2006,1,6287.0,6507.3385,6638.871,31196.0,4.962,100.0,0,1786.0,9071.0549,3322.0,4817.4251,1179.0,14798.544
Calera de Tango,all_cause,2006,2006,1,1339.0,5273.3144,5349.3594,7121.0,5.3181,21.0,0,358.0,7274.9441,763.0,4170.0825,218.0,10027.5989
Cerrillos,all_cause,2006,2006,1,6885.0,8517.6663,8326.1053,39492.0,5.7359,154.0,0,1785.0,11718.75,3476.0,6214.5782,1624.0,16797.6831
Cerro Navia,all_cause,2006,2006,1,11494.0,8666.737,8518.0359,66146.0,5.7548,228.0,0,3229.0,12976.7311,6156.0,6731.2529,2109.0,12950.568
Colina,all_cause,2006,2006,1,7697.0,5264.4538,5362.4774,42726.0,5.551,128.0,0,2869.0,7968.7804,3928.0,3845.8526,900.0,11155.181
Conchalí,all_cause,2006,2006,1,13253.0,10439.132,10164.3735,105713.0,7.9765,392.0,0,3845.0,17578.7501,6113.0,6957.8975,3295.0,19130.2833
Curacaví,all_cause,2006,2006,1,2288.0,7022.9289,6920.9475,12076.0,5.278,35.0,0,490.0,7875.2813,1192.0,5249.2514,606.0,16611.8421
El Bosque,all_cause,2006,2006,1,15696.0,9658.7797,9412.346,89474.0,5.7004,378.0,0,4270.0,13652.2045,7891.0,7074.2115,3535.0,17960.5731
El Monte,all_cause,2006,2006,1,2055.0,5720.569,5693.983,13137.0,6.3927,44.0,0,568.0,7583.4446,1078.0,4319.7756,409.0,11756.2518
Estación Central,all_cause,2006,2006,1,12332.0,8386.7765,8477.3243,71504.0,5.7982,316.0,0,2992.0,13583.3296,5853.0,5424.2157,3487.0,20381.086
Huechuraba,all_cause,2006,2006,1,7972.0,8079.3749,7854.383,43705.0,5.4823,132.0,0,2832.0,12680.7863,4025.0,5991.8124,1115.0,12167.1759
Independencia,all_cause,2006,2006,1,7782.0,7760.1939,7875.4911,55430.0,7.1228,280.0,0,1942.0,12279.4815,3608.0,4906.4404,2232.0,20418.9919
Isla de Maipo,all_cause,2006,2006,1,2027.0,5596.5101,5591.5233,10518.0,5.1889,38.0,0,572.0,7968.7935,1034.0,4053.1535,421.0,11926.3456
La Cisterna,all_cause,2006,2006,1,7120.0,7900.6647,7475.7417,49726.0,6.984,210.0,0,1308.0,8541.2041,3518.0,5681.2493,2294.0,17807.7938
La Florida,all_cause,2006,2006,1,29062.0,7920.614,7802.2541,164810.0,5.671,562.0,0,6556.0,10441.9846,16081.0,6238.8218,6425.0,13854.7462
La Granja,all_cause,2006,2006,1,12296.0,10548.078,10361.1929,72281.0,5.8784,259.0,0,2983.0,13799.963,6398.0,7871.4583,2915.0,21317.8295
La Pintana,all_cause,2006,2006,1,17173.0,9683.9315,9570.2502,91002.0,5.2991,286.0,0,5358.0,13427.2253,9220.0,7580.99,2595.0,16412.6241
