name,outcome,mortality_year_start,mortality_year_end,mortality_n_years,mortality_deaths_total,mortality_rate_crude_per_100k,mortality_rate_age_adjusted_per_100k,mortality_low_count_flag,mortality_deaths_0_14,mortality_rate_0_14_per_100k,mortality_deaths_15_64,mortality_rate_15_64_per_100k,mortality_deaths_65_plus,mortality_rate_65_plus_per_100k
Alhué,all_cause,2018,2022,5,210.0,651.7691,661.0834,0,6.0,136.9863,53.0,215.9299,151.0,4582.7011
Buin,all_cause,2018,2022,5,2946.0,609.8495,728.5787,0,64.0,65.0109,777.0,225.3546,2105.0,5284.2977
Calera de Tango,all_cause,2018,2022,5,691.0,544.2659,632.0087,0,13.0,52.8348,180.0,196.7536,498.0,4581.4167
Cerrillos,all_cause,2018,2022,5,2530.0,625.9897,575.9349,0,46.0,60.3992,649.0,232.0634,1835.0,3796.0281
Cerro Navia,all_cause,2018,2022,5,5791.0,873.3091,796.1401,0,63.0,50.637,1745.0,381.6126,3983.0,4891.6181
Colina,all_cause,2018,2022,5,3146.0,430.3488,672.7732,0,94.0,52.2179,1096.0,214.6158,1956.0,4848.7853
Conchalí,all_cause,2018,2022,5,5531.0,871.3324,733.8905,0,55.0,50.2903,1385.0,315.2851,4091.0,4750.3484
Curacaví,all_cause,2018,2022,5,1145.0,702.9068,674.3613,0,17.0,54.6448,267.0,235.1594,861.0,4720.3947
El Bosque,all_cause,2018,2022,5,5931.0,729.9468,668.5166,0,102.0,65.2236,1593.0,285.6221,4236.0,4304.4406
El Monte,all_cause,2018,2022,5,1106.0,615.7615,656.2067,0,18.0,48.0641,321.0,257.2631,767.0,4409.313
Estación Central,all_cause,2018,2022,5,5024.0,683.3468,634.7445,0,99.0,89.8897,1372.0,254.2978,3553.0,4153.3696
Huechuraba,all_cause,2018,2022,5,3047.0,617.608,682.2994,0,46.0,41.1946,831.0,247.4135,2170.0,4735.9232
Independencia,all_cause,2018,2022,5,4713.0,939.9587,912.4651,0,91.0,115.0806,1299.0,353.2963,3322.0,6078.1264
Isla de Maipo,all_cause,2018,2022,5,1050.0,579.8062,614.8168,0,18.0,50.1532,258.0,202.2657,774.0,4385.2691
La Cisterna,all_cause,2018,2022,5,3978.0,882.8327,701.2132,0,41.0,53.5458,721.0,232.8699,3216.0,4993.0135
