outcome,exposure,n_pairs,spearman_rho,spearman_p,partial_spearman_rho,partial_spearman_p,partial_covariates,status
dementia,pm25_pop_weighted,52,0.0824,0.5616223762054166,-0.0155,0.9134165091736812,"nse_index,demo_pct_pop_65_plus",ok
dementia,no2_surface_ug_m3,52,0.1728,0.22056615141786315,-0.407,0.002751194204671115,"nse_index,demo_pct_pop_65_plus",ok
dementia,heat_exposure_index,52,-0.0006,0.9966405579542066,0.0281,0.84330807093916,"nse_index,demo_pct_pop_65_plus",ok
dementia,sleep_context_index,52,0.0219,0.8777675267920565,-0.3033,0.028861372567553514,"nse_index,demo_pct_pop_65_plus",ok
dementia,noise_combined_pct,52,0.0885,0.5326979431580118,-0.4674,0.0004762922161878137,"nse_index,demo_pct_pop_65_plus",ok
dementia,green_cover_pct_ndvi,52,-0.0472,0.739614805266427,0.2139,0.12791210977630021,"nse_index,demo_pct_pop_65_plus",ok
dementia,social_index,52,0.0207,0.8841705048703,-0.4665,0.000490689024900142,"nse_index,demo_pct_pop_65_plus",ok
dementia,walk_index,52,0.1409,0.3191671661715282,-0.3459,0.012025283860466666,"nse_index,demo_pct_pop_65_plus",ok
dementia,transit_index,52,0.138,0.3292105269800637,-0.3501,0.01094325509766895,"nse_index,demo_pct_pop_65_plus",ok
dementia,food_index,52,0.2187,0.11928644632957248,-0.3296,0.017016176054326784,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,pm25_pop_weighted,52,0.1844,0.19076609734121625,0.0887,0.5317446779582361,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,no2_surface_ug_m3,52,0.1857,0.18750926701981815,-0.2775,0.04642419874154792,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,heat_exposure_index,52,0.0801,0.5726145101196544,0.1335,0.345320803998019,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,sleep_context_index,52,-0.0325,0.8191563639210718,-0.2824,0.04250275428015684,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,noise_combined_pct,52,0.0522,0.7129796608450388,-0.4533,0.0007398934073467088,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,green_cover_pct_ndvi,52,0.0178,0.9005615611522619,0.249,0.07501677821953381,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,social_index,52,0.0831,0.5580145890600385,-0.3099,0.025361918734572112,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,walk_index,52,0.1695,0.2296945767103973,-0.2133,0.12900631757811426,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,transit_index,52,0.1376,0.33057173295081316,-0.2606,0.06208932154309688,"nse_index,demo_pct_pop_65_plus",ok
alzheimer,food_index,52,0.2105,0.1341281024610501,-0.2428,0.08284643260501201,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,pm25_pop_weighted,52,0.1487,0.29260884628599315,0.1378,0.32997673930712995,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,no2_surface_ug_m3,52,0.0313,0.8254778914985863,0.1664,0.2384088544701581,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,heat_exposure_index,52,0.2604,0.062257602277396004,0.2507,0.07307819200001299,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,sleep_context_index,52,-0.1436,0.3099320869916575,-0.1083,0.44455621367426024,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,noise_combined_pct,52,-0.2217,0.1141605337506844,-0.2066,0.1416802038608635,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,green_cover_pct_ndvi,52,-0.0843,0.5525571423432774,-0.1504,0.2871128990296889,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,social_index,52,-0.1998,0.15561044664454085,-0.1342,0.3428365699527636,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,walk_index,52,0.1626,0.24954550622882332,0.3088,0.0259191213716087,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,transit_index,52,0.1576,0.2646058061920745,0.3184,0.021402575744352188,"nse_index,demo_pct_pop_65_plus",ok
cerebrovascular,food_index,52,0.1375,0.3311257369697404,0.3224,0.019764545375616564,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,pm25_pop_weighted,52,0.0416,0.769744182949363,-0.0714,0.6150953311778625,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,no2_surface_ug_m3,52,0.2575,0.06538792672326454,-0.1407,0.3197913322429874,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,heat_exposure_index,52,0.1985,0.15835484639282738,0.2494,0.07460530780199034,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,sleep_context_index,52,0.063,0.6572057154528701,-0.1649,0.24283404101680878,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,noise_combined_pct,52,0.2355,0.09281198304433091,-0.1668,0.23718949415499543,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,green_cover_pct_ndvi,52,-0.048,0.7352976686080525,0.1501,0.28822108907638133,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,social_index,52,0.333,0.015849295369091125,0.0394,0.7813010999805517,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,walk_index,52,0.2171,0.12206120777230664,-0.1014,0.4743246073085833,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,transit_index,52,0.2304,0.10027606733015257,-0.1176,0.40652451543969104,"nse_index,demo_pct_pop_65_plus",ok
parkinsonism,food_index,52,0.2731,0.05013212001105343,-0.1071,0.44998956061536366,"nse_index,demo_pct_pop_65_plus",ok
