name,noise_ld_pop_exposed,noise_ld_pct_exposed,noise_ln_pop_exposed,noise_ln_pct_exposed,noise_combined_pct,noise_in_gsu_map
Alhué,0,0.0,0,0.0,0.0,0
Buin,0,0.0,0,0.0,0.0,0
Calera de Tango,0,0.0,0,0.0,0.0,0
Cerrillos,18742,21.0,27300,31.0,26.0,1
Cerro Navia,11073,9.0,16837,14.0,11.5,1
Colina,0,0.0,0,0.0,0.0,0
Conchalí,14799,13.0,20603,18.0,15.5,1
Curacaví,0,0.0,0,0.0,0.0,0
El Bosque,7034,5.0,10913,7.0,6.0,1
El Monte,0,0.0,0,0.0,0.0,0
Estación Central,32796,15.0,42805,20.0,17.5,1
Huechuraba,11865,13.0,16185,17.0,15.0,1
Independencia,13097,10.0,18307,13.0,11.5,1
Isla de Maipo,0,0.0,0,0.0,0.0,0
La Cisterna,11156,10.0,16907,15.0,12.5,1
La Florida,51837,13.0,60591,15.0,14.0,1
La Granja,11320,10.0,18587,17.0,13.5,1
La Pintana,9951,6.0,14260,9.0,7.5,1
La Reina,14225,15.0,9092,10.0,12.5,1
Lampa,0,0.0,0,0.0,0.0,0
Las Condes,74295,19.0,60624,16.0,17.5,1
Lo Barnechea,19729,20.0,19144,19.0,19.5,1
Lo Espejo,16500,20.0,23884,29.0,24.5,1
Lo Prado,7651,8.0,11619,13.0,10.5,1
Macul,24943,17.0,29257,20.0,18.5,1
Maipú,59122,12.0,73771,14.0,13.0,1
María Pinto,0,0.0,0,0.0,0.0,0
Melipilla,0,0.0,0,0.0,0.0,0
Padre Hurtado,1313,2.0,1435,2.0,2.0,1
Paine,0,0.0,0,0.0,0.0,0
Pedro Aguirre Cerda,8226,9.0,13927,15.0,12.0,1
Peñaflor,0,0.0,0,0.0,0.0,0
Peñalolén,20179,9.0,24912,11.0,10.0,1
Pirque,0,0.0,0,0.0,0.0,0
Providencia,36977,16.0,32715,14.0,15.0,1
Pudahuel,22418,10.0,39732,18.0,14.0,1
Puente Alto,47833,9.0,54149,10.0,9.5,1
Quilicura,17969,9.0,28052,14.0,11.5,1
Quinta Normal,11857,9.0,17234,13.0,11.0,1
Recoleta,12253,8.0,15863,10.0,9.0,1
Renca,20556,15.0,35899,26.0,20.5,1
San Bernardo,23799,8.0,38681,13.0,10.5,1
San Joaquín,11498,11.0,15627,15.0,13.0,1
San José de Maipo,0,0.0,0,0.0,0.0,0
San Miguel,13137,7.0,18008,10.0,8.5,1
San Pedro,0,0.0,0,0.0,0.0,0
San Ramón,7028,10.0,10865,15.0,12.5,1
Santiago,97936,15.0,114922,17.0,16.0,1
Talagante,0,0.0,0,0.0,0.0,0
Tiltil,0,0.0,0,0.0,0.0,0
Vitacura,25211,24.0,29357,28.0,26.0,1
Ñuñoa,55512,16.0,46794,14.0,15.0,1
