name,area_km2,pm25_mean,pm25_pop_weighted,pm25_who_ratio
Alhué,843.7231565253592,19.79,19.51,3.96
Buin,217.4870765166865,25.38,25.73,5.08
Calera de Tango,73.04670721750554,24.91,24.97,4.98
Cerrillos,16.91976540726597,25.01,25.04,5.0
Cerro Navia,11.1409923410993,24.67,24.72,4.93
Colina,971.572458411833,22.42,23.23,4.48
Conchalí,10.981814316952168,24.66,24.72,4.93
Curacaví,693.7986497365545,18.09,17.71,3.62
El Bosque,14.257401066876932,25.04,25.0,5.01
El Monte,115.32500548527088,19.03,19.85,3.81
Estación Central,14.286210447826248,24.82,24.83,4.96
Huechuraba,44.961776496679434,23.07,23.6,4.61
Independencia,7.283932271741198,24.76,24.72,4.95
Isla de Maipo,187.5459843400852,21.64,23.03,4.33
La Cisterna,10.010720078249644,24.91,24.9,4.98
La Florida,71.1210522666309,23.25,22.99,4.65
La Granja,10.05972177854653,24.24,24.2,4.85
La Pintana,30.533393046693345,24.49,24.41,4.9
La Reina,23.64155193370517,21.3,21.53,4.26
Lampa,450.07304175821884,21.51,23.17,4.3
Las Condes,98.90203406407547,21.38,21.32,4.28
Lo Barnechea,1022.1297930626228,23.98,21.3,4.8
Lo Espejo,8.194771356519686,25.05,25.06,5.01
Lo Prado,6.5696894359848965,24.82,24.82,4.96
Macul,12.81375558134934,23.59,23.54,4.72
Maipú,137.6083323875252,23.62,24.7,4.72
María Pinto,394.62227541126543,15.78,16.35,3.16
Melipilla,1343.1265099756665,16.86,16.89,3.37
Padre Hurtado,81.22443358814272,22.48,23.97,4.5
Paine,678.1358046412458,22.94,25.14,4.59
Pedro Aguirre Cerda,8.636814394202121,24.83,24.84,4.97
Peñaflor,69.31756826885692,22.38,23.01,4.48
Peñalolén,53.62334767694691,22.47,22.0,4.49
Pirque,444.69895673936196,22.2,22.26,4.44
Providencia,14.432959755289843,23.65,23.54,4.73
Pudahuel,197.45244233660642,22.16,23.76,4.43
Puente Alto,88.13342555691855,22.67,22.73,4.53
Quilicura,56.99201354866873,24.59,24.69,4.92
Quinta Normal,11.832492258790195,24.8,24.8,4.96
Recoleta,15.851037225594844,24.39,24.41,4.88
Renca,23.746435810535132,24.73,24.75,4.95
San Bernardo,153.14373172094295,25.38,25.32,5.08
San Joaquín,9.937976304933375,24.26,24.22,4.85
San José de Maipo,4984.910043200271,23.31,22.26,4.66
San Miguel,9.628513022449877,24.66,24.66,4.93
San Pedro,794.8391508021717,14.37,14.35,2.87
San Ramón,6.307777940004786,24.64,24.59,4.93
Santiago,23.276273577117394,24.5,24.47,4.9
Talagante,128.00823676158703,22.82,22.44,4.56
Tiltil,654.8702700541278,19.6,20.39,3.92
Vitacura,28.29370286224916,21.63,21.98,4.33
Ñuñoa,16.9120528554829,23.39,23.37,4.68
