name,area_km2,precip_annual_mean_mm,precip_annual_sd_mm,precip_annual_cv,precip_wet_days,precip_wet_day_pct,precip_heavy_days_10mm,precip_very_heavy_days_20mm,precip_rx1day_mm,precip_rx5day_mm,precip_cdd_days,precip_cwd_days,precip_intensity_wet_day_mm,precip_winter_mean_mm,precip_summer_mean_mm,precip_latest_year_mm,precip_latest_anomaly_mm,precip_latest_anomaly_pct,precip_extremes_index,precip_n_years,precip_n_days
Alhué,843.7232,384.4969,116.4473,0.3029,47.8,13.0844,11.3,4.7,41.3018,70.916,74.8,5.4,7.9807,237.2606,5.4292,596.7297,235.8143,65.3378,60.7843,10,3653
Buin,217.4871,324.226,106.7768,0.3293,49.5,13.5491,8.8,1.9,28.8074,55.0894,77.8,4.8,6.4745,196.3623,5.1822,550.6068,251.5342,84.1047,65.6863,10,3653
Calera de Tango,73.0467,256.2883,85.3538,0.333,43.8,11.9888,6.7,1.0,22.389,44.4799,97.7,4.9,5.7919,156.2671,0.7717,426.5143,189.14,79.6801,50.4902,10,3653
Cerrillos,16.9198,221.8092,78.3961,0.3534,40.1,10.9762,5.1,0.9,21.2898,40.8153,98.8,4.4,5.4772,147.1948,0.2033,395.471,192.9576,95.2814,57.1078,10,3653
Cerro Navia,11.141,206.8529,69.2869,0.335,41.0,11.2222,4.4,0.5,19.8971,36.5923,97.7,4.1,5.008,133.3689,1.0161,343.5896,151.9297,79.2705,29.1667,10,3653
Colina,971.5725,270.1665,85.9075,0.318,49.1,13.4394,6.8,0.8,21.9311,43.0859,83.2,5.1,5.4495,165.5705,3.1614,466.0312,217.6275,87.6104,53.6765,10,3653
Conchalí,10.9818,214.6072,70.889,0.3303,39.7,10.8666,5.5,0.5,19.9576,38.1218,99.4,4.2,5.3483,140.1598,0.356,370.6384,173.3679,87.8834,52.6961,10,3653
Curacaví,693.7986,278.0904,100.1027,0.36,42.4,11.6059,8.0,2.0,29.3139,54.6959,56.1,4.2,6.4471,172.2014,6.4188,464.7399,207.3883,80.5856,54.6569,10,3653
El Bosque,14.2574,269.4227,99.3378,0.3687,43.7,11.9617,8.0,1.3,22.6493,47.2122,98.0,4.7,6.135,152.0207,0.7149,494.3596,249.9299,102.2502,74.2647,10,3653
El Monte,115.325,298.2351,99.9878,0.3353,43.2,11.8248,8.8,2.4,32.3785,58.6693,85.7,4.9,6.8103,192.7536,3.2032,491.6461,214.9012,77.6532,64.2157,10,3653
Estación Central,14.2862,206.1692,69.7676,0.3384,39.4,10.7846,4.9,0.4,20.2504,38.9517,98.4,4.4,5.1862,142.7195,0.4051,357.1524,167.7591,88.5771,50.2451,10,3653
Huechuraba,44.9618,229.3568,72.7051,0.317,43.1,11.7966,5.9,0.6,20.5413,39.8057,99.7,4.7,5.3139,149.0974,0.9029,387.3917,175.5944,82.9068,50.9804,10,3653
Independencia,7.2839,200.6069,64.3296,0.3207,39.0,10.6753,4.8,0.5,21.3595,37.5823,98.2,4.3,5.1386,140.2129,0.9449,331.3153,145.2316,78.0464,34.3137,10,3653
Isla de Maipo,187.546,316.1099,105.7576,0.3346,45.1,12.345,8.8,2.3,32.9694,60.8882,85.0,4.9,6.9493,207.4534,2.7273,525.6834,232.8594,79.522,67.6471,10,3653
La Cisterna,10.0107,288.0102,107.2979,0.3725,41.5,11.3595,8.5,2.0,26.0425,50.8945,97.7,4.6,6.8542,171.4177,0.9259,540.6601,280.7221,107.9958,80.1471,10,3653
La Florida,71.1211,345.2652,92.0842,0.2667,61.1,16.7245,8.1,1.8,27.1914,49.5609,36.1,5.3,5.6629,165.542,27.4029,535.9021,211.8187,65.3593,38.7255,10,3653
La Granja,10.0597,314.8803,100.8365,0.3202,52.4,14.3431,8.4,1.5,25.5208,47.7083,54.0,5.0,6.0468,156.8903,19.6568,530.7215,239.8236,82.4425,52.6961,10,3653
La Pintana,30.5334,291.2507,102.6353,0.3524,48.6,13.3033,8.0,1.7,25.0695,50.9465,79.2,4.8,5.9062,149.7595,2.8993,521.4638,255.7923,96.2814,68.8725,10,3653
La Reina,23.6416,321.3794,77.0011,0.2396,58.5,16.0127,7.6,1.0,26.5501,47.5553,36.8,4.9,5.5103,175.3617,32.1018,474.7024,170.3589,55.9759,29.4118,10,3653
Lampa,450.073,239.0858,86.1421,0.3603,41.6,11.3864,6.1,0.9,23.0698,44.7721,70.3,5.1,5.6268,154.092,4.4226,412.9376,193.1686,87.8962,48.2843,10,3653
Las Condes,98.902,300.9449,80.2106,0.2665,55.1,15.0819,7.8,1.2,24.015,47.0203,49.1,5.3,5.4543,182.0535,10.9375,472.3773,190.4804,67.5709,35.2941,10,3653
Lo Barnechea,1022.1298,414.6964,106.797,0.2575,64.2,17.5724,11.9,2.4,28.8685,60.6492,41.8,5.7,6.4456,218.9111,15.0696,671.8356,285.7102,73.9942,56.8627,10,3653
Lo Espejo,8.1948,281.9865,105.6181,0.3746,41.0,11.2226,8.5,2.0,25.6741,50.3567,97.7,4.6,6.7937,170.034,0.0433,530.2826,275.8845,108.446,79.6569,10,3653
Lo Prado,6.5697,211.5085,72.3594,0.3421,40.2,11.0037,5.1,0.5,20.2165,38.0891,98.5,4.3,5.2244,140.1876,0.6741,364.3969,169.876,87.3305,48.2843,10,3653
Macul,12.8138,296.8808,77.555,0.2612,55.0,15.0549,6.6,0.8,24.7913,43.16,43.4,4.8,5.4143,163.9266,29.1756,450.0772,170.2183,60.8229,24.7549,10,3653
Maipú,137.6083,227.6158,77.9567,0.3425,41.4,11.3315,5.9,0.6,20.545,40.5912,92.6,4.6,5.4638,141.7088,0.8077,386.6142,176.6649,84.1464,44.6078,10,3653
María Pinto,394.6223,313.8332,106.0246,0.3378,42.2,11.5515,9.5,3.2,35.3274,60.8173,80.9,4.2,7.3239,197.2508,5.0177,488.3731,193.9332,65.8651,61.2745,10,3653
Melipilla,1343.1265,339.6754,106.6825,0.3141,46.4,12.7015,10.1,3.9,38.0207,65.8721,83.4,5.3,7.2424,216.1137,4.0399,517.936,198.0674,61.9215,63.2353,10,3653
Padre Hurtado,81.2244,251.4196,86.3706,0.3435,43.6,11.9341,6.9,1.1,23.4502,44.9924,93.2,4.8,5.7217,155.0372,1.317,419.0026,186.2033,79.9845,50.9804,10,3653
Paine,678.1358,333.9675,108.1563,0.3239,52.6,14.3989,9.1,2.6,31.7504,59.1973,81.3,5.9,6.3243,211.719,4.0989,560.9123,252.1609,81.6712,68.1373,10,3653
Pedro Aguirre Cerda,8.6368,215.6227,72.4044,0.3358,39.2,10.7298,5.3,0.5,21.4098,39.784,98.4,4.4,5.4434,146.6376,0.4779,373.1365,175.0154,88.3376,52.6961,10,3653
Peñaflor,69.3176,264.4327,91.1583,0.3447,42.7,11.688,7.8,1.5,26.0559,48.8101,93.5,4.8,6.1811,166.2238,1.3023,446.162,201.9214,82.6732,60.7843,10,3653
Peñalolén,53.6233,339.7638,80.6279,0.2373,59.5,16.2868,7.8,1.8,27.328,48.6129,36.0,4.9,5.6925,176.6171,33.415,503.8206,182.2854,56.6922,31.3725,10,3653
Pirque,444.699,354.3974,114.0642,0.3219,55.1,15.0829,10.5,2.1,28.0193,56.0495,80.1,6.2,6.3658,200.9924,2.9076,607.8537,281.6182,86.3236,73.5294,10,3653
Providencia,14.433,271.7965,72.482,0.2667,50.0,13.6861,6.4,0.8,24.7893,41.8259,51.2,4.4,5.5097,161.5793,24.9972,411.9408,155.716,60.7732,23.5294,10,3653
Pudahuel,197.4524,222.0402,77.6139,0.3495,40.8,11.1676,5.5,0.7,20.2015,40.3148,82.1,4.8,5.4155,139.1843,3.1737,379.1196,174.5327,85.3098,41.9118,10,3653
Puente Alto,88.1334,319.2804,101.2015,0.317,54.8,15.0004,8.0,1.6,25.23,50.6185,49.4,5.3,5.7933,159.8206,9.9967,540.8438,246.1816,83.547,52.9412,10,3653
Quilicura,56.992,213.7991,71.5865,0.3348,40.9,11.1949,4.7,0.3,19.415,37.4147,98.0,4.6,5.1527,134.9986,1.0566,364.2545,167.1726,84.8239,40.6863,10,3653
Quinta Normal,11.8325,205.722,67.7946,0.3295,39.1,10.7025,5.0,0.5,20.9465,37.5781,97.0,4.2,5.2543,138.7555,0.9368,343.8793,153.5082,80.6363,33.8235,10,3653
Recoleta,15.851,245.7873,70.5024,0.2868,49.2,13.4669,5.9,0.8,22.2496,39.2348,51.7,4.4,5.0403,153.4454,14.1264,387.7773,157.7667,68.591,22.0588,10,3653
Renca,23.7464,206.0723,68.1621,0.3308,41.1,11.2497,4.1,0.4,19.4539,36.2691,98.0,4.2,4.9441,133.8225,0.9552,343.7084,152.929,80.1601,32.3529,10,3653
San Bernardo,153.1437,272.3436,94.7378,0.3479,45.7,12.5088,7.5,1.0,22.7272,46.3511,97.8,5.2,5.8917,163.7169,0.9046,478.416,228.9694,91.7909,67.6471,10,3653
