name,area_km2,drought_months_pct,drought_severe_months_pct,drought_max_duration_months,precip_trend_mm_per_decade,spi_12_latest,spi_3_mean,spi_3_std,spi_6_mean,spi_12_mean
Alhué,843.72,17.8,0.85,4,5.84,1.635,0.003,0.997,-0.002,-0.0
Buin,217.49,16.1,0.85,4,37.1,1.884,0.001,0.999,-0.003,-0.001
Calera de Tango,73.05,12.71,0.85,4,17.39,1.727,0.037,0.965,-0.003,-0.0
Cerrillos,16.92,12.71,0.0,6,36.8,1.901,0.076,0.958,-0.0,0.0
Cerro Navia,11.14,13.56,0.0,4,4.04,1.695,0.078,0.959,-0.003,0.0
Colina,971.57,16.95,0.0,3,23.39,2.042,-0.004,1.003,-0.003,-0.001
Conchalí,10.98,13.56,0.0,4,30.11,1.914,0.068,0.957,-0.004,-0.0
Curacaví,693.8,15.25,0.0,4,-22.71,1.63,-0.001,0.999,-0.002,-0.0
El Bosque,14.26,12.71,0.0,4,43.16,1.99,0.056,0.967,-0.005,-0.001
El Monte,115.33,14.41,0.0,4,10.13,1.688,0.016,0.977,-0.002,-0.0
Estación Central,14.29,12.71,0.85,6,34.3,1.849,0.062,0.955,-0.002,0.0
Huechuraba,44.96,13.56,0.0,3,28.65,1.9,0.013,0.977,-0.004,-0.0
Independencia,7.28,12.71,0.0,6,21.44,1.738,0.059,0.953,-0.003,0.0
Isla de Maipo,187.55,16.1,0.0,5,18.54,1.734,0.014,0.979,-0.003,-0.0
La Cisterna,10.01,12.71,0.0,3,58.88,2.064,-0.005,1.003,-0.005,-0.001
La Florida,71.12,16.1,0.0,6,27.92,1.896,-0.005,1.003,-0.002,-0.001
La Granja,10.06,15.25,0.85,6,25.83,1.923,-0.002,1.004,-0.003,-0.001
La Pintana,30.53,14.41,0.0,4,49.78,1.996,0.013,0.977,-0.005,-0.002
La Reina,23.64,14.41,0.0,6,19.47,1.821,-0.004,1.004,-0.001,-0.001
Lampa,450.07,16.1,0.0,4,-1.6,1.76,-0.004,1.003,-0.003,-0.001
Las Condes,98.9,15.25,0.85,6,33.48,1.921,-0.004,1.003,-0.002,-0.001
Lo Barnechea,1022.13,16.1,0.0,3,53.5,2.229,-0.003,1.004,-0.003,-0.001
Lo Espejo,8.19,11.86,0.0,4,58.16,2.056,0.073,0.952,-0.001,-0.001
Lo Prado,6.57,11.02,0.0,4,22.05,1.809,0.092,0.939,0.002,0.0
Macul,12.81,14.41,0.0,6,10.81,1.788,-0.003,1.004,-0.001,-0.001
Maipú,137.61,15.25,0.85,6,14.34,1.757,0.009,0.986,-0.003,0.0
María Pinto,394.62,14.41,0.0,4,-48.36,1.464,0.001,1.0,-0.002,0.0
Melipilla,1343.13,16.95,0.85,5,-24.63,1.497,0.003,0.995,-0.002,-0.0
Padre Hurtado,81.22,13.56,0.85,4,4.1,1.683,0.033,0.969,-0.003,-0.0
Paine,678.14,18.64,0.85,6,43.89,1.859,-0.001,1.004,-0.002,-0.001
Pedro Aguirre Cerda,8.64,11.02,0.0,4,35.18,1.862,0.076,0.955,0.001,0.0
Peñaflor,69.32,15.25,0.0,4,10.46,1.727,0.019,0.974,-0.003,-0.0
Peñalolén,53.62,15.25,0.0,6,28.83,1.867,-0.004,1.003,-0.002,-0.001
Pirque,444.7,16.1,0.0,3,61.04,1.997,-0.003,1.003,-0.004,-0.001
Providencia,14.43,17.8,0.0,6,6.67,1.742,-0.003,1.004,-0.001,-0.0
Pudahuel,197.45,16.95,0.0,6,4.53,1.753,-0.005,1.003,-0.003,-0.0
Puente Alto,88.13,16.1,0.0,6,53.02,1.975,-0.005,1.003,-0.004,-0.002
Quilicura,56.99,11.86,0.0,4,15.94,1.825,0.038,0.964,-0.004,-0.0
Quinta Normal,11.83,14.41,0.0,6,16.48,1.745,0.059,0.954,-0.004,0.0
Recoleta,15.85,16.95,0.0,4,14.44,1.784,-0.004,1.003,-0.002,-0.0
Renca,23.75,13.56,0.0,4,9.73,1.74,0.051,0.969,-0.004,0.0
San Bernardo,153.14,13.56,0.85,4,35.28,1.907,0.013,0.981,-0.005,-0.001
San Joaquín,9.94,15.25,0.0,6,11.17,1.815,-0.003,1.004,-0.002,-0.001
San José de Maipo,4984.91,14.41,0.0,3,82.91,2.234,-0.003,1.004,-0.002,-0.001
San Miguel,9.63,16.95,0.0,6,29.17,1.922,-0.004,1.003,-0.003,-0.001
San Pedro,794.84,18.64,0.0,5,-53.74,1.304,-0.001,1.004,-0.002,0.0
San Ramón,6.31,15.25,0.85,6,28.81,1.938,-0.003,1.004,-0.003,-0.001
Santiago,23.28,16.1,0.0,6,17.48,1.748,-0.004,1.003,-0.002,0.0
Talagante,128.01,15.25,0.0,4,22.68,1.784,0.016,0.98,-0.003,-0.0
Tiltil,654.87,14.41,0.85,4,2.79,1.846,-0.003,1.003,-0.003,-0.001
Vitacura,28.29,15.25,0.85,3,27.6,1.857,-0.003,1.003,-0.003,-0.0
Ñuñoa,16.91,15.25,0.0,6,8.04,1.755,-0.003,1.004,-0.001,-0.001
