name,transit_n_bus_stops,transit_n_metro_stations,transit_n_rail_stations,transit_bus_density,transit_metro_density,transit_mean_dist_bus_m,transit_p90_dist_bus_m,transit_bus_coverage_300m,transit_bus_coverage_500m,transit_mean_dist_metro_m,transit_metro_coverage_1000m,transit_has_metro,transit_index
Alhué,7,0,0,0.0,0.0,7424.6,13161.8,0.004,0.004,50000.0,0.0,0,23.5
Buin,76,0,3,0.3,0.0,1713.4,3264.2,0.056,0.13,50000.0,0.0,0,37.9
Calera de Tango,54,0,0,0.7,0.0,1082.7,2200.7,0.123,0.288,50000.0,0.0,0,42.2
Cerrillos,257,1,0,15.2,0.1,187.6,329.9,0.882,0.941,2398.5,0.059,1,67.3
Cerro Navia,211,0,0,18.9,0.0,181.0,316.0,0.875,0.875,50000.0,0.0,0,67.2
Colina,159,0,0,0.2,0.0,7081.0,16423.8,0.034,0.059,50000.0,0.0,0,25.3
Conchalí,267,3,0,24.3,0.3,99.2,212.8,1.0,1.0,787.7,0.583,1,81.5
Curacaví,33,0,0,0.0,0.0,7129.5,14971.6,0.013,0.023,50000.0,0.0,0,24.5
El Bosque,245,3,1,17.2,0.2,160.7,345.3,0.857,1.0,1025.8,0.571,1,74.3
El Monte,32,0,2,0.3,0.0,2561.6,4910.6,0.035,0.07,50000.0,0.0,0,35.1
Estación Central,278,4,1,19.5,0.3,106.7,218.2,1.0,1.0,871.8,0.6,1,78.2
Huechuraba,180,0,0,4.0,0.0,1086.4,2701.5,0.273,0.409,50000.0,0.0,0,46.6
Independencia,139,2,0,19.1,0.3,177.1,239.1,1.0,1.0,828.6,0.667,1,77.6
Isla de Maipo,26,0,1,0.1,0.0,2959.1,5598.0,0.033,0.06,50000.0,0.0,0,34.0
La Cisterna,212,4,0,21.2,0.4,119.5,188.9,1.0,1.0,788.7,0.778,1,83.0
La Florida,628,9,0,8.8,0.1,1595.0,4694.8,0.439,0.5,4851.0,0.197,1,54.3
La Granja,220,1,0,21.9,0.1,101.1,171.7,1.0,1.0,1011.2,0.444,1,74.6
La Pintana,341,0,0,11.2,0.0,265.2,672.4,0.733,0.867,50000.0,0.0,0,61.2
La Reina,272,3,0,11.5,0.1,464.9,1264.3,0.762,0.762,2713.3,0.238,1,63.1
Lampa,95,0,2,0.2,0.0,4061.5,8581.7,0.038,0.069,50000.0,0.0,0,31.8
Las Condes,427,7,0,4.3,0.1,2341.2,6187.1,0.327,0.406,5267.3,0.129,1,46.2
Lo Barnechea,201,0,3,0.2,0.0,9774.9,19972.6,0.017,0.028,50000.0,0.0,0,19.1
Lo Espejo,193,0,1,23.6,0.0,96.8,125.1,1.0,1.0,50000.0,0.0,0,72.9
Lo Prado,167,5,0,25.4,0.8,88.5,110.0,1.0,1.0,550.5,1.0,1,96.9
Macul,255,5,0,19.9,0.4,116.6,180.0,1.0,1.0,903.3,0.538,1,81.8
Maipú,799,5,0,5.8,0.0,1369.8,3716.0,0.333,0.413,5865.9,0.08,1,48.4
María Pinto,59,0,0,0.2,0.0,2800.8,5560.7,0.036,0.062,50000.0,0.0,0,34.3
Melipilla,127,0,2,0.1,0.0,4248.3,9037.4,0.019,0.043,50000.0,0.0,0,30.9
Padre Hurtado,55,0,1,0.7,0.0,3281.1,6356.0,0.1,0.112,50000.0,0.0,0,34.5
Paine,66,0,2,0.1,0.0,4446.0,9147.9,0.018,0.05,50000.0,0.0,0,30.6
Pedro Aguirre Cerda,162,2,1,18.8,0.2,142.0,215.2,1.0,1.0,1281.6,0.5,1,76.2
Peñaflor,26,0,1,0.4,0.0,1597.0,3171.9,0.088,0.118,50000.0,0.0,0,38.0
Peñalolén,361,3,0,6.7,0.1,1606.8,4872.9,0.4,0.56,4727.1,0.1,1,51.7
Pirque,60,0,0,0.1,0.0,5296.9,11168.2,0.02,0.052,50000.0,0.0,0,28.9
Providencia,229,12,2,15.9,0.8,210.6,378.2,0.75,0.917,609.3,0.917,1,90.4
Pudahuel,469,3,0,2.4,0.0,1442.8,3700.3,0.161,0.316,10962.8,0.016,1,43.5
Puente Alto,884,5,0,10.0,0.1,772.3,2494.6,0.568,0.67,3634.2,0.125,1,57.7
Quilicura,369,4,0,6.5,0.1,467.8,1053.7,0.5,0.679,2743.4,0.161,1,56.3
Quinta Normal,255,2,0,21.6,0.2,108.9,178.0,1.0,1.0,1767.7,0.222,1,76.4
Recoleta,291,7,0,18.4,0.4,220.4,404.4,0.8,0.933,783.1,0.733,1,80.9
Renca,260,0,0,10.9,0.0,206.4,441.8,0.682,0.955,50000.0,0.0,0,62.7
San Bernardo,551,6,5,3.6,0.0,1023.8,2431.4,0.288,0.412,4634.6,0.098,1,47.6
San Joaquín,229,2,0,23.0,0.2,132.3,247.8,0.875,1.0,1005.0,0.625,1,78.4
San José de Maipo,54,0,2,0.0,0.0,18576.5,35917.8,0.002,0.006,50000.0,0.0,0,0.0
San Miguel,174,6,0,18.1,0.6,115.4,155.4,1.0,1.0,605.8,0.875,1,87.4
San Pedro,41,0,0,0.1,0.0,5643.6,11213.6,0.015,0.03,50000.0,0.0,0,27.7
San Ramón,184,2,0,29.2,0.3,113.8,206.2,1.0,1.0,855.8,0.6,1,86.4
