name,area_km2,sleep_alan_log,sleep_tropical_nights_20c,sleep_summer_tmin_c,sleep_exposure_index,sleep_vulnerability_index,sleep_context_index
Alhué,843.72,1.7815,8,17.0022,67.9739,64.7059,66.9935
Buin,217.49,2.8866,0,11.8209,16.9935,37.2549,23.0719
Calera de Tango,73.05,2.5882,0,12.6275,16.3399,62.7451,30.2614
Cerrillos,16.92,4.3728,2,15.3868,68.6275,59.4771,65.8824
Cerro Navia,11.14,3.9499,0,14.8242,36.6013,69.9346,46.6013
Colina,971.57,3.177,1,13.7099,35.9477,58.8235,42.8105
Conchalí,10.98,4.2663,0,15.0121,46.732,58.8235,50.3595
Curacaví,693.8,2.2602,1,13.8846,32.6797,58.1699,40.3268
El Bosque,14.26,4.0848,0,14.5538,40.5229,58.1699,45.817
El Monte,115.33,2.2022,0,12.8912,15.0327,51.3072,25.915
Estación Central,14.29,4.3768,2,15.3868,69.281,41.8301,61.0458
Huechuraba,44.96,3.9235,0,15.0121,37.5817,58.1699,43.7582
Independencia,7.28,4.5044,3,15.3308,76.1438,28.7582,61.9281
Isla de Maipo,187.55,2.3645,0,14.0571,24.183,55.2288,33.4967
La Cisterna,10.01,4.1529,3,15.5264,72.549,38.5621,62.3529
La Florida,71.12,4.3965,0,15.1143,52.9412,39.8693,49.0196
La Granja,10.06,4.5023,3,15.5264,81.6993,68.6275,77.7778
La Pintana,30.53,4.0406,0,13.1703,30.0654,69.281,41.8301
La Reina,23.64,3.9139,3,15.4011,62.7451,46.4052,57.8431
Lampa,450.07,3.2879,3,15.8912,66.6667,52.2876,62.3529
Las Condes,98.9,4.0016,3,15.5418,70.5882,35.9477,60.1961
Lo Barnechea,1022.13,3.4682,0,13.1275,23.5294,43.1373,29.4118
Lo Espejo,8.19,4.2666,2,15.3868,66.0131,81.6993,70.719
Lo Prado,6.57,4.5334,0,14.8242,54.2484,52.9412,53.8562
Macul,12.81,4.5101,3,15.5264,83.0065,39.2157,69.8693
Maipú,137.61,4.1905,0,14.2703,41.1765,31.3725,38.2353
María Pinto,394.62,1.0162,0,13.6495,15.6863,52.2876,26.6667
Melipilla,1343.13,2.5975,0,13.1989,20.2614,48.366,28.6928
Padre Hurtado,81.22,3.6298,0,13.8286,29.4118,45.7516,34.3137
Paine,678.14,2.7145,0,13.7582,24.183,49.0196,31.634
Pedro Aguirre Cerda,8.64,4.3994,2,15.3868,70.5882,63.3987,68.4314
Peñaflor,69.32,3.1569,0,12.8396,20.2614,41.8301,26.732
Peñalolén,53.62,3.9761,0,15.0143,40.5229,48.366,42.8758
Pirque,444.7,2.2513,4,16.3187,66.6667,62.4183,65.3922
Providencia,14.43,4.5552,3,15.3308,78.1046,32.6797,64.4771
Pudahuel,197.45,4.0497,0,14.0582,37.2549,41.1765,38.4314
Puente Alto,88.13,4.2721,0,15.1978,50.3268,41.8301,47.7778
Quilicura,56.99,4.2196,0,14.4956,42.4837,37.9085,41.1111
Quinta Normal,11.83,3.9925,3,15.6527,71.2418,43.7908,63.0065
Recoleta,15.85,4.1376,3,15.3308,65.6863,45.7516,59.7059
Renca,23.75,4.3382,0,14.8242,47.7124,56.2092,50.2614
San Bernardo,153.14,3.9703,0,13.544,28.7582,50.3268,35.2288
San Joaquín,9.94,4.4807,6,16.2011,90.8497,50.3268,78.6928
San José de Maipo,4984.91,1.4332,0,6.4648,9.8039,75.1634,29.4118
San Miguel,9.63,4.429,7,16.3011,91.5033,31.3725,73.4641
San Pedro,794.84,1.0719,1,13.5527,25.4902,60.1307,35.8824
San Ramón,6.31,4.3213,3,15.5264,76.4706,71.2418,74.902
Santiago,23.28,4.5648,3,15.3308,78.7582,6.5359,57.0915
Talagante,128.01,3.0913,0,12.4802,18.3007,50.9804,28.1046
Tiltil,654.87,1.6901,0,15.5868,39.2157,60.4575,45.5882
Vitacura,28.29,4.0828,20,17.2319,84.9673,39.2157,71.2418
Ñuñoa,16.91,4.6382,3,15.5264,85.6209,30.719,69.1503
