name,social_n_total,social_n_total_raw,social_n_library,social_n_cultural,social_n_community,social_n_senior,social_n_sports,social_n_public_space,social_n_sports_raw,social_n_public_space_raw,social_private_or_customer_excluded_n,social_category_diversity,social_civic_diversity,social_density_per_km2,social_points_per_10k,social_points_per_10k_raw,social_civic_points_per_10k,social_recreation_points_per_10k,social_mean_nearest_m,social_median_nearest_m,social_p90_nearest_m,social_coverage_500m,social_coverage_1000m,social_n_access_grid,social_civic_index,social_access_index,social_recreation_index,social_index
Alhué,5,19,0,1,1,0,0,4,14,4,2,3,2,0.006,7.759,29.485,3.104,6.207,9600.0,9776.9,15390.5,0.001,0.012,842,65.3,36.2,34.1,48.9
Buin,165,411,1,4,6,0,7,152,262,152,87,5,3,0.759,17.078,42.54,1.139,16.457,1614.4,1578.9,2933.8,0.157,0.31,216,57.8,73.2,100.0,71.6
Calera de Tango,41,1633,0,5,0,0,4,32,1608,32,1108,3,1,0.561,16.147,643.116,1.969,14.178,1078.4,972.9,2077.1,0.26,0.521,73,43.9,81.7,91.7,66.7
Cerrillos,123,214,2,4,1,0,8,109,110,109,4,5,3,7.27,15.217,26.475,0.866,14.474,218.2,161.0,404.6,0.941,1.0,17,53.7,99.7,93.2,77.7
Cerro Navia,165,218,0,5,3,0,6,157,105,157,2,4,2,14.81,12.441,16.438,0.603,12.291,182.6,128.8,429.5,1.0,1.0,8,37.5,99.8,81.4,68.1
Colina,238,1351,1,4,2,1,26,208,1153,208,404,6,4,0.245,16.278,92.403,0.547,16.005,7645.8,6127.1,16203.1,0.06,0.142,962,59.9,47.1,100.0,63.5
Conchalí,107,159,1,4,7,1,6,93,73,94,7,6,4,9.743,8.428,12.524,1.024,7.798,139.3,112.9,271.6,1.0,1.0,12,67.9,100.0,49.5,75.4
Curacaví,27,129,1,3,1,0,5,17,109,17,2,5,3,0.039,8.288,39.596,1.535,6.753,7072.7,5660.2,14427.6,0.012,0.045,693,62.8,46.0,39.8,52.3
El Bosque,139,243,0,2,13,2,9,119,148,119,18,5,3,9.749,8.554,14.953,1.046,7.877,282.3,264.2,459.2,0.929,1.0,14,56.4,99.5,50.2,70.3
El Monte,51,112,0,5,2,0,1,44,81,44,0,4,2,0.442,14.197,31.178,1.949,12.527,2349.7,2037.1,4664.3,0.105,0.272,114,55.5,69.4,82.8,65.8
Estación Central,138,240,4,6,7,0,13,111,131,111,6,5,3,9.66,9.385,16.322,1.156,8.433,157.7,150.7,238.5,1.0,1.0,15,58.0,99.9,54.9,72.0
Huechuraba,131,284,2,10,5,1,19,99,184,101,37,6,4,2.914,13.276,28.783,1.824,11.959,859.3,513.8,1841.4,0.477,0.614,44,77.7,85.3,79.5,80.7
Independencia,59,111,3,5,2,0,12,38,72,39,15,5,3,8.1,5.883,11.069,0.997,4.986,183.1,183.6,256.7,1.0,1.0,6,55.7,99.8,19.8,64.0
Isla de Maipo,49,210,1,3,1,1,1,43,169,43,46,6,4,0.261,13.529,57.981,1.657,12.148,3062.1,2828.6,5902.2,0.066,0.164,183,75.9,63.6,80.6,72.6
La Cisterna,48,116,1,3,1,0,14,30,93,30,48,5,3,4.795,5.326,12.872,0.555,4.882,251.2,273.9,345.0,1.0,1.0,9,48.3,99.6,18.4,60.3
La Florida,393,780,3,2,27,3,34,330,476,332,135,6,4,5.526,10.711,21.258,0.954,9.921,1409.0,339.2,4339.2,0.545,0.636,66,66.8,84.1,66.3,72.8
La Granja,171,258,0,4,11,0,7,154,124,155,7,4,2,16.998,14.669,22.132,1.287,13.811,160.6,113.4,314.1,1.0,1.0,9,48.0,99.9,89.8,74.5
La Pintana,232,355,2,5,6,0,12,213,185,213,1,5,3,7.598,13.083,20.019,0.733,12.688,414.3,370.4,837.0,0.633,0.933,30,51.5,96.9,83.7,73.9
La Reina,138,438,2,12,5,0,24,101,340,103,117,5,3,5.837,14.873,47.205,2.048,13.472,408.1,233.1,913.3,0.81,0.905,21,68.2,96.0,88.0,81.9
Lampa,159,322,0,3,4,0,10,142,192,143,5,4,2,0.353,15.583,31.558,0.686,14.897,3931.1,3283.1,8353.0,0.069,0.149,449,39.0,60.1,95.3,57.6
Las Condes,359,1243,4,20,11,7,67,268,964,270,445,6,4,3.63,12.176,42.159,1.425,11.362,2122.4,736.3,5863.1,0.416,0.525,101,73.2,78.2,75.8,75.5
Lo Barnechea,205,582,1,9,5,1,16,178,399,183,44,6,4,0.201,19.37,54.992,1.512,18.331,7282.7,5985.8,15725.5,0.043,0.079,1024,74.3,46.3,100.0,69.6
Lo Espejo,66,108,1,1,4,0,4,57,55,57,1,5,3,8.054,6.68,10.931,0.607,6.174,230.0,146.1,415.4,0.875,1.0,8,49.3,99.6,33.8,63.8
Lo Prado,94,148,1,2,3,2,5,85,75,85,0,6,4,14.308,9.766,15.377,0.831,9.351,135.8,80.4,293.7,1.0,1.0,6,64.9,100.0,62.1,76.6
Macul,134,332,3,5,11,2,18,103,229,103,109,6,4,10.458,11.499,28.49,1.802,10.383,189.1,154.6,319.9,1.0,1.0,13,77.5,99.8,69.5,83.7
Maipú,766,1350,4,6,14,0,34,716,712,716,15,5,3,5.567,14.685,25.881,0.46,14.378,1710.1,1116.6,4482.5,0.391,0.493,138,46.5,78.6,92.7,67.0
María Pinto,10,119,0,0,2,0,0,8,112,8,0,2,1,0.025,7.358,87.564,1.472,5.887,4110.3,3469.3,7789.0,0.015,0.052,388,38.5,56.4,30.6,43.2
Melipilla,87,269,0,4,2,1,12,69,203,69,8,5,3,0.065,7.037,21.759,0.566,6.552,5888.0,5003.0,11860.9,0.025,0.062,1346,48.5,50.6,37.7,47.1
Padre Hurtado,172,836,0,0,1,0,6,165,695,165,269,3,1,2.118,27.194,132.174,0.158,27.036,1892.1,1366.4,4307.1,0.238,0.4,80,16.1,75.1,100.0,53.5
Paine,103,546,1,3,2,0,16,82,479,82,6,5,3,0.152,14.156,75.042,0.825,13.469,4475.3,3787.6,8974.5,0.035,0.084,678,53.1,56.2,88.0,61.2
Pedro Aguirre Cerda,123,186,0,4,10,0,12,104,92,104,12,4,2,14.241,12.157,18.384,1.384,11.465,158.5,162.5,231.9,1.0,1.0,8,49.2,99.9,76.5,72.4
Peñaflor,112,455,1,3,45,0,6,62,362,62,246,5,3,1.616,12.417,50.443,5.432,7.539,1097.9,823.4,2479.3,0.324,0.603,68,90.3,84.2,47.2,79.5
Peñalolén,275,588,1,9,6,0,24,241,393,241,48,5,3,5.128,11.382,24.338,0.662,10.969,1237.9,260.9,3861.5,0.62,0.68,50,50.3,86.1,73.3,67.4
Pirque,43,366,0,5,0,0,6,33,334,33,3,3,1,0.097,16.214,138.004,1.885,14.705,5279.5,4574.6,11085.1,0.056,0.146,444,43.1,55.4,94.4,57.6
Providencia,197,557,15,39,15,2,27,121,396,122,48,6,4,13.649,13.866,39.204,4.997,10.417,177.9,150.0,297.1,1.0,1.0,12,100.0,99.8,69.7,93.9
Pudahuel,220,372,1,8,2,1,12,201,201,201,5,6,4,1.114,9.553,16.153,0.521,9.249,1971.8,1507.4,4624.4,0.171,0.342,193,59.4,73.0,61.4,64.6
Puente Alto,718,1250,4,3,14,1,45,661,701,663,181,6,4,8.147,12.638,22.003,0.387,12.427,560.7,223.2,1478.3,0.761,0.83,88,56.7,93.1,82.2,74.6
Quilicura,418,524,1,4,27,0,19,377,181,379,14,5,3,7.334,19.866,24.904,1.521,18.82,623.1,473.9,1230.9,0.518,0.786,56,62.6,91.6,100.0,80.2
