name,social_n_total,social_n_total_raw,social_n_library,social_n_cultural,social_n_community,social_n_senior,social_n_sports,social_n_public_space,social_n_sports_raw,social_n_public_space_raw,social_private_or_customer_excluded_n,social_category_diversity,social_civic_diversity,social_density_per_km2,social_points_per_10k,social_points_per_10k_raw,social_civic_points_per_10k,social_recreation_points_per_10k,social_mean_nearest_m,social_median_nearest_m,social_p90_nearest_m,social_coverage_500m,social_coverage_1000m,social_n_access_grid,social_civic_index,social_access_index,social_recreation_index,social_index
San Pedro,8,27,0,0,0,0,1,7,22,7,0,2,0,0.01,8.225,27.761,0.0,8.225,7755.9,7644.5,12686.7,0.004,0.016,796,0.0,42.7,53.2,25.6
María Pinto,10,119,0,0,2,0,0,8,112,8,0,2,1,0.025,7.358,87.564,1.472,5.887,4110.3,3469.3,7789.0,0.015,0.052,388,38.5,56.4,30.6,43.2
San José de Maipo,20,140,2,2,2,0,0,16,121,16,2,4,3,0.004,10.996,76.97,3.299,8.797,20029.2,18453.9,38061.1,0.002,0.006,4982,78.4,0.0,57.9,46.9
Melipilla,87,269,0,4,2,1,12,69,203,69,8,5,3,0.065,7.037,21.759,0.566,6.552,5888.0,5003.0,11860.9,0.025,0.062,1346,48.5,50.6,37.7,47.1
Alhué,5,19,0,1,1,0,0,4,14,4,2,3,2,0.006,7.759,29.485,3.104,6.207,9600.0,9776.9,15390.5,0.001,0.012,842,65.3,36.2,34.1,48.9
Quinta Normal,43,101,1,4,0,0,8,32,73,32,1,4,2,3.634,3.908,9.18,0.454,3.636,263.8,251.5,371.2,1.0,1.0,9,34.6,99.5,0.0,50.4
Curacaví,27,129,1,3,1,0,5,17,109,17,2,5,3,0.039,8.288,39.596,1.535,6.753,7072.7,5660.2,14427.6,0.012,0.045,693,62.8,46.0,39.8,52.3
Padre Hurtado,172,836,0,0,1,0,6,165,695,165,269,3,1,2.118,27.194,132.174,0.158,27.036,1892.1,1366.4,4307.1,0.238,0.4,80,16.1,75.1,100.0,53.5
San Miguel,52,183,1,5,0,0,13,35,152,35,93,4,2,5.401,4.817,16.952,0.556,4.446,250.8,281.3,323.7,1.0,1.0,8,36.6,99.6,12.5,53.8
San Ramón,76,112,0,2,0,0,5,72,61,72,0,3,1,12.049,9.168,13.51,0.241,9.288,221.7,172.7,406.9,0.8,1.0,5,18.2,99.7,61.6,55.4
