name,walk_intersection_density,walk_street_density_km_km2,walk_avg_street_length_m,walk_streets_per_node,walk_circuity,walk_n_nodes,walk_index
Alhué,0.581,399.091,387.929,2.537,1.212,687,16.0
Buin,31.767,6401.249,116.804,2.776,1.1,8576,47.3
Calera de Tango,21.356,4570.132,115.794,2.412,1.102,2393,39.1
Cerrillos,297.936,26916.618,52.876,2.84,1.069,6104,71.2
Cerro Navia,317.027,30387.798,56.042,3.149,1.031,3892,82.1
Colina,11.561,2322.803,116.581,2.709,1.128,14201,41.5
Conchalí,297.765,29336.575,58.185,3.048,1.028,3670,79.2
Curacaví,3.7,1693.537,260.008,2.433,1.193,3717,22.9
El Bosque,262.951,25469.776,56.589,3.01,1.03,4316,75.7
El Monte,15.834,4039.415,141.165,2.574,1.119,2569,39.1
Estación Central,298.05,27577.451,54.394,2.99,1.044,4894,76.3
Huechuraba,99.885,11288.179,65.803,2.838,1.118,5450,53.9
Independencia,241.216,24301.944,58.906,2.93,1.031,2081,72.8
Isla de Maipo,15.292,4356.423,167.048,2.716,1.129,3605,39.8
La Cisterna,270.51,28472.154,59.196,3.175,1.028,3080,80.3
La Florida,195.666,18101.542,53.359,3.014,1.047,16097,69.5
La Granja,552.6,43691.868,45.112,3.364,1.027,5852,100.0
La Pintana,152.522,17030.123,65.276,3.052,1.029,5294,69.2
La Reina,235.264,22034.341,52.129,2.89,1.049,6976,69.9
Lampa,14.267,3306.528,132.601,2.662,1.108,8435,41.8
Las Condes,152.798,14447.137,53.533,3.068,1.058,17452,66.8
Lo Barnechea,7.218,1449.862,117.169,2.786,1.254,9077,32.2
Lo Espejo,307.635,29946.204,58.083,3.181,1.031,2692,82.1
Lo Prado,388.603,32705.896,50.132,3.154,1.017,2755,86.8
Macul,410.34,33134.686,45.96,3.096,1.03,6018,85.7
Maipú,126.555,12966.803,60.694,2.961,1.054,19899,63.2
María Pinto,2.828,1281.355,249.581,2.481,1.129,1637,29.3
Melipilla,4.609,1527.535,184.769,2.594,1.119,8569,35.9
Padre Hurtado,36.615,6495.613,102.447,2.632,1.109,3925,44.8
Paine,9.529,3016.366,181.613,2.636,1.142,8563,35.7
Pedro Aguirre Cerda,364.023,32464.641,52.964,3.144,1.029,3411,84.6
Peñaflor,44.39,6686.376,84.716,2.579,1.076,4247,47.7
Peñalolén,148.834,16121.708,63.273,2.884,1.066,9529,62.6
Pirque,4.675,1681.022,199.826,2.369,1.163,3157,27.3
Providencia,540.499,40211.37,41.977,3.209,1.034,8715,94.8
Pudahuel,49.698,7155.017,84.755,2.919,1.093,11472,53.2
Puente Alto,199.05,19805.133,59.199,2.91,1.053,20308,67.4
Quilicura,145.284,14864.65,60.477,2.832,1.083,9904,59.7
Quinta Normal,341.01,33348.231,53.869,3.34,1.024,4438,88.3
Recoleta,253.611,25340.492,59.675,3.054,1.039,4469,75.3
Renca,177.795,21326.499,71.248,2.949,1.073,4841,65.9
San Bernardo,67.616,9346.786,81.021,2.832,1.092,12530,53.2
San Joaquín,424.835,35636.095,47.044,3.28,1.023,4643,91.2
San José de Maipo,0.267,238.105,501.239,2.424,1.308,1962,0.0
San Miguel,269.927,26592.571,55.82,3.056,1.041,3057,76.4
San Pedro,1.761,1238.165,395.238,2.349,1.168,2132,15.9
San Ramón,382.861,34622.178,53.658,3.259,1.011,2547,89.7
Santiago,290.296,26961.024,53.72,3.076,1.033,7686,78.4
Talagante,27.42,5750.923,119.352,2.673,1.103,4623,44.6
Tiltil,2.494,1365.513,311.254,2.447,1.205,2358,19.3
Vitacura,207.184,20875.966,58.79,3.003,1.07,6732,68.6
Ñuñoa,578.581,40430.566,38.983,3.175,1.027,11133,96.2
