name,area_km2,fire_burned_area_km2_total,fire_burned_area_mean_annual_km2,fire_burned_pct_mean_annual,fire_burned_pct_max_year,fire_burn_years_count,fire_worst_year,fire_trend_km2_per_decade,fire_detections_total,fire_detections_per_km2,fire_detections_max_year,fire_brightness_max_k,fire_exposure_index
Alhué,843.72,93.0055,9.3006,1.102,10.656,3,2017,-26.555,1519.3,1.801,1168.6,487.2,65.8
Buin,217.49,10.9003,1.09,0.501,5.012,1,2017,-3.303,346.4,1.593,103.8,388.6,48.8
Calera de Tango,73.05,0.0,0.0,0.0,0.0,0,2015,0.0,73.4,1.005,24.6,342.4,18.2
Cerrillos,16.92,0.0,0.0,0.0,0.0,0,2015,0.0,21.1,1.247,15.3,332.9,20.2
Cerro Navia,11.14,0.0,0.0,0.0,0.0,0,2015,0.0,18.2,1.634,10.0,341.2,23.2
Colina,971.57,28.2876,2.8288,0.291,1.86,4,2024,6.529,1110.3,1.143,284.4,374.3,45.6
Conchalí,10.98,0.0,0.0,0.0,0.0,0,2015,0.0,8.0,0.728,5.9,333.8,15.5
Curacaví,693.8,87.5017,8.7502,1.261,6.879,6,2022,6.735,950.5,1.37,283.8,502.0,71.2
El Bosque,14.26,0.0,0.0,0.0,0.0,0,2015,0.0,8.2,0.575,5.5,321.0,13.8
El Monte,115.33,0.0,0.0,0.0,0.0,0,2015,0.0,78.6,0.682,20.9,362.2,15.0
Estación Central,14.29,0.0,0.0,0.0,0.0,0,2015,0.0,1.1,0.077,1.1,300.3,5.0
Huechuraba,44.96,0.0,0.0,0.0,0.0,0,2015,0.0,20.2,0.449,10.0,360.1,12.2
Independencia,7.28,0.0,0.0,0.0,0.0,0,2015,0.0,2.6,0.357,1.5,332.1,10.8
Isla de Maipo,187.55,1.4511,0.1451,0.077,0.774,1,2022,0.44,285.6,1.523,58.8,388.5,33.8
La Cisterna,10.01,0.0,0.0,0.0,0.0,0,2015,0.0,0.5,0.05,0.5,0.0,4.0
La Florida,71.12,0.0,0.0,0.0,0.0,0,2015,0.0,4.5,0.063,4.5,315.5,4.6
La Granja,10.06,0.0,0.0,0.0,0.0,0,2015,0.0,2.2,0.219,2.2,315.5,8.5
La Pintana,30.53,0.0,0.0,0.0,0.0,0,2015,0.0,20.0,0.655,6.8,336.5,14.7
La Reina,23.64,0.0,0.0,0.0,0.0,0,2015,0.0,5.1,0.216,3.7,344.4,8.4
Lampa,450.07,53.5137,5.3514,1.189,8.25,5,2022,10.218,746.0,1.658,216.1,481.5,70.2
Las Condes,98.9,0.0,0.0,0.0,0.0,0,2015,0.0,9.6,0.097,3.5,309.0,5.6
Lo Barnechea,1022.13,15.182,1.5182,0.149,0.877,6,2019,1.915,136.0,0.133,45.9,360.1,31.7
Lo Espejo,8.19,0.0,0.0,0.0,0.0,0,2015,0.0,9.9,1.208,4.9,332.9,19.9
Lo Prado,6.57,0.0,0.0,0.0,0.0,0,2015,0.0,4.1,0.624,4.1,327.3,14.3
Macul,12.81,0.0,0.0,0.0,0.0,0,2015,0.0,10.9,0.851,3.2,312.5,16.7
Maipú,137.61,6.0372,0.6037,0.439,4.387,1,2016,-2.561,219.7,1.597,44.6,417.2,47.3
María Pinto,394.62,11.1646,1.1165,0.283,1.467,2,2023,0.175,170.9,0.433,70.9,405.4,33.9
Melipilla,1343.13,81.2805,8.128,0.605,3.844,7,2017,-13.583,1479.9,1.102,319.8,487.2,59.4
Padre Hurtado,81.22,1.4471,0.1447,0.178,1.58,2,2016,-0.475,205.9,2.535,63.6,392.0,47.1
Paine,678.14,19.8234,1.9823,0.292,1.524,6,2017,-4.886,676.4,0.997,223.6,500.0,48.4
Pedro Aguirre Cerda,8.64,0.0,0.0,0.0,0.0,0,2015,0.0,9.2,1.065,9.2,325.5,18.7
Peñaflor,69.32,0.751,0.0751,0.108,1.083,1,2016,-0.319,151.0,2.178,50.1,363.8,39.9
Peñalolén,53.62,0.0,0.0,0.0,0.0,0,2015,0.0,108.0,2.014,19.2,344.4,25.7
Pirque,444.7,16.144,1.6144,0.363,3.397,3,2017,-4.063,332.7,0.748,246.1,422.9,42.1
Providencia,14.43,0.0,0.0,0.0,0.0,0,2015,0.0,7.6,0.527,3.1,339.8,13.2
Pudahuel,197.45,11.1013,1.1101,0.562,2.448,3,2019,-0.086,962.1,4.873,180.9,417.2,71.4
Puente Alto,88.13,0.0,0.0,0.0,0.0,0,2015,0.0,96.6,1.096,31.5,367.9,19.0
Quilicura,56.99,0.6976,0.0698,0.122,1.224,1,2016,-0.296,130.6,2.292,52.1,363.2,41.3
Quinta Normal,11.83,0.0,0.0,0.0,0.0,0,2015,0.0,12.9,1.09,6.1,333.2,18.9
Recoleta,15.85,0.0,0.0,0.0,0.0,0,2015,0.0,17.8,1.123,8.0,339.8,19.2
Renca,23.75,0.0,0.0,0.0,0.0,0,2015,0.0,42.9,1.807,12.6,349.3,24.4
San Bernardo,153.14,0.0,0.0,0.0,0.0,0,2015,0.0,114.0,0.744,41.2,349.6,15.6
San Joaquín,9.94,0.0,0.0,0.0,0.0,0,2015,0.0,0.0,0.0,0.0,0.0,0.0
San José de Maipo,4984.91,64.2683,6.4268,0.129,0.409,10,2019,0.556,288.4,0.058,121.2,422.9,36.5
San Miguel,9.63,0.0,0.0,0.0,0.0,0,2015,0.0,6.1,0.634,6.1,322.2,14.4
San Pedro,794.84,87.9563,8.7956,1.107,4.535,9,2017,-8.853,1504.2,1.892,443.6,500.5,78.5
San Ramón,6.31,0.0,0.0,0.0,0.0,0,2015,0.0,0.0,0.0,0.0,0.0,0.0
Santiago,23.28,0.0,0.0,0.0,0.0,0,2015,0.0,10.1,0.434,3.0,339.8,11.9
Talagante,128.01,0.0,0.0,0.0,0.0,0,2015,0.0,174.5,1.363,32.3,354.6,21.2
Tiltil,654.87,91.4569,9.1457,1.397,10.738,5,2016,-21.898,925.7,1.414,241.7,481.5,71.6
Vitacura,28.29,0.0,0.0,0.0,0.0,0,2015,0.0,17.7,0.626,9.6,325.4,14.3
Ñuñoa,16.91,0.0,0.0,0.0,0.0,0,2015,0.0,13.0,0.769,4.7,319.9,15.9
