name,area_km2,poblacion,ingreso,escolaridad,pobreza_pct,pobreza_ci_low,pobreza_ci_high,pobreza_multi_pct,viv_materialidad_deficitaria_pct,hacinamiento_phh,nse_index,nse_index_pca,nse_quintil,tasa_delitos_violentos,tasa_delitos_propiedad,paes_puntaje_promedio,pct_fonasa_tramo_a_b,ipp_per_capita
Alhué,843.72,7691,150000,9.92,29.11,22.54,35.68,32.63,38.53,3.346,-1.371,-1.631,1,1443.2,1599.3,543.2,58.84,979.0
Buin,217.49,114827,165000,12.41,19.12,13.34,24.9,15.39,18.75,3.374,-0.119,-0.12,3,1322.0,2302.6,591.8,58.05,107.0
Calera de Tango,73.05,29640,233935,10.24,18.58,12.25,24.92,23.19,20.91,3.572,-0.569,-0.634,2,1244.9,2182.9,625.8,57.78,170.0
Cerrillos,16.92,89907,215448,11.71,22.55,15.85,29.26,27.84,10.01,3.364,-0.308,-0.359,2,2130.0,4169.9,587.6,56.02,223.0
Cerro Navia,11.14,141122,210000,10.47,23.02,16.21,29.84,20.64,18.5,3.432,-0.505,-0.595,2,1797.0,1411.5,544.2,59.65,22.0
Colina,971.57,191338,216667,11.56,24.58,17.26,31.89,23.74,13.58,3.686,-0.534,-0.578,2,1205.7,1847.5,638.0,58.99,217.0
Conchalí,10.98,138230,208817,11.42,18.72,12.38,25.06,19.15,17.43,3.327,-0.193,-0.224,3,1547.4,1841.9,552.5,56.73,75.0
Curacaví,693.8,37653,203945,10.91,25.84,18.98,32.71,26.53,23.83,3.218,-0.651,-0.797,1,1460.7,2270.7,562.8,63.7,136.0
El Bosque,14.26,170902,200000,11.4,17.48,11.95,23.01,13.42,13.48,3.433,-0.032,-0.02,4,1481.0,1755.4,596.8,60.37,41.0
El Monte,115.33,41392,203917,10.76,22.96,15.66,30.27,24.96,24.55,3.3,-0.619,-0.74,2,1220.0,1439.9,515.2,59.03,88.0
Estación Central,14.29,218525,326521,12.16,22.81,17.01,28.62,29.53,13.78,3.128,-0.149,-0.2,3,1819.9,3957.0,583.2,54.91,101.0
Huechuraba,44.96,116377,200000,12.27,18.64,12.52,24.77,21.12,13.35,3.529,-0.183,-0.17,3,1290.6,2731.6,655.3,58.26,358.0
Independencia,7.28,150807,400000,13.23,22.42,15.69,29.14,26.5,15.72,2.886,0.191,0.174,4,1457.5,2135.8,578.4,57.67,85.0
Isla de Maipo,187.55,41550,210000,10.07,22.88,16.21,29.54,21.09,25.22,3.337,-0.633,-0.761,1,1497.0,1275.6,550.8,59.77,94.0
La Cisterna,10.01,101315,320803,12.79,13.47,7.85,19.09,9.9,11.78,3.076,0.621,0.716,5,2274.1,3714.2,581.1,57.35,115.0
