spatial_id,spatial_name,legacy_name,slug
13502,Alhué,Alhué,alhue
13402,Buin,Buin,buin
13403,Calera de Tango,Calera de Tango,calera_de_tango
13102,Cerrillos,Cerrillos,cerrillos
13103,Cerro Navia,Cerro Navia,cerro_navia
13301,Colina,Colina,colina
13104,Conchalí,Conchalí,conchali
13503,Curacaví,Curacaví,curacavi
13105,El Bosque,El Bosque,el_bosque
13602,El Monte,El Monte,el_monte
13106,Estación Central,Estación Central,estacion_central
13107,Huechuraba,Huechuraba,huechuraba
13108,Independencia,Independencia,independencia
13603,Isla de Maipo,Isla de Maipo,isla_de_maipo
13109,La Cisterna,La Cisterna,la_cisterna
13110,La Florida,La Florida,la_florida
13111,La Granja,La Granja,la_granja
13112,La Pintana,La Pintana,la_pintana
13113,La Reina,La Reina,la_reina
13302,Lampa,Lampa,lampa
13114,Las Condes,Las Condes,las_condes
13115,Lo Barnechea,Lo Barnechea,lo_barnechea
13116,Lo Espejo,Lo Espejo,lo_espejo
13117,Lo Prado,Lo Prado,lo_prado
13118,Macul,Macul,macul
13119,Maipú,Maipú,maipu
13504,María Pinto,María Pinto,maria_pinto
13501,Melipilla,Melipilla,melipilla
13604,Padre Hurtado,Padre Hurtado,padre_hurtado
13404,Paine,Paine,paine
13121,Pedro Aguirre Cerda,Pedro Aguirre Cerda,pedro_aguirre_cerda
13605,Peñaflor,Peñaflor,penaflor
13122,Peñalolén,Peñalolén,penalolen
13202,Pirque,Pirque,pirque
13123,Providencia,Providencia,providencia
13124,Pudahuel,Pudahuel,pudahuel
13201,Puente Alto,Puente Alto,puente_alto
13125,Quilicura,Quilicura,quilicura
13126,Quinta Normal,Quinta Normal,quinta_normal
13127,Recoleta,Recoleta,recoleta
13128,Renca,Renca,renca
13401,San Bernardo,San Bernardo,san_bernardo
13129,San Joaquín,San Joaquín,san_joaquin
13203,San José de Maipo,San José de Maipo,san_jose_de_maipo
13130,San Miguel,San Miguel,san_miguel
13505,San Pedro,San Pedro,san_pedro
13131,San Ramón,San Ramón,san_ramon
13101,Santiago,Santiago,santiago
13601,Talagante,Talagante,talagante
13303,Tiltil,Tiltil,tiltil
13132,Vitacura,Vitacura,vitacura
13120,Ñuñoa,Ñuñoa,nunoa
